Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Bangladesh,2.15,2.19,0.5402314556430343,136805810.0,1085482.0,53991289844.3291,54.0,-0.7536,13201.0,0.0,,20.28637011128092,17.720257904457014,14.863610429661264,0.4167209969853086
2001-02-01,Bangladesh,1.53,1.55,1.593652895082933,136805810.0,1085482.0,53991289844.3291,54.0,-0.6116,13201.0,0.0,,23.694965457916283,21.497746351382943,17.82363047372729,0.4443179259814538
2001-03-01,Bangladesh,1.49,1.51,0.7072453276820995,136805810.0,1085482.0,53991289844.3291,54.0,-0.0526,13201.0,0.0,,27.324015451246737,25.35037162935828,20.322739619593506,0.5154064081402796
2001-04-01,Bangladesh,1.6,1.64,0.5684643602109699,136805810.0,1085482.0,53991289844.3291,54.0,0.002,13201.0,3100.0,,29.907318327162045,27.943927344298004,23.013763639662045,0.5022990832424565
2001-05-01,Bangladesh,2.04,2.07,1.2506402698064198,136805810.0,1085482.0,53991289844.3291,54.68,0.9475,13201.0,200.0,,29.287499815417902,26.73404990884137,23.62648513547839,0.4463180327977463
2001-06-01,Bangladesh,2.15,2.19,0.9909136478274128,136805810.0,1085482.0,53991289844.3291,57.0,0.0184,13201.0,500000.0,,27.330948978000265,26.59630615047428,23.362687259250265,0.4213689691617681
2001-07-01,Bangladesh,2.2,2.23,0.7146764534760038,136805810.0,1085482.0,53991289844.3291,57.0,-0.5745,13201.0,0.0,,28.16090892258512,27.269435579666435,23.723159531624106,0.4231935598650452
2001-08-01,Bangladesh,2.23,2.27,1.0247092172643275,136805810.0,1085482.0,53991289844.3291,57.0,-0.2133,13201.0,200000.0,,28.290539165209736,27.679990431370243,24.370089631439555,0.4510140026668012
2001-09-01,Bangladesh,2.23,2.26,0.9244338900435156,136805810.0,1085482.0,53991289844.3291,57.0,-0.2768,13201.0,0.0,,27.818631998697924,27.04324162127012,23.78539089626736,0.6302309762204246
2001-10-01,Bangladesh,2.18,2.21,1.74794665556735,136805810.0,1085482.0,53991289844.3291,57.0,0.8927,13201.0,25450.0,,27.15032424516579,25.9303165122991,23.347988895703395,0.675258819461124
2001-11-01,Bangladesh,1.25,1.26,1.202590936851215,136805810.0,1085482.0,53991289844.3291,57.0,-0.0546,13201.0,0.0,,24.865060657925085,23.05556984850148,20.01734472910568,0.5578838568075706
2001-12-01,Bangladesh,2.19,2.23,1.0491455650521615,136805810.0,1085482.0,53991289844.3291,57.0,-0.5456,13201.0,2000.0,,21.82766488598241,18.99415805712352,16.4797592450214,0.4577696221159224
2002-01-01,Bangladesh,2.35,2.4,0.9239303161744308,138933658.0,1055570.0,54724081490.5102,57.756,1.0045,11414.0,0.0,,21.559990409112743,18.85416452575521,15.831178140127577,0.4521778069971827
2002-02-01,Bangladesh,2.93,2.98,0.4126520673775434,138933658.0,1055570.0,54724081490.5102,57.9,-0.836,11414.0,0.0,,23.50577602386477,21.70212554131865,18.436303483872223,0.4867003309559485
2002-03-01,Bangladesh,2.97,3.02,0.9994578521979316,138933658.0,1055570.0,54724081490.5102,57.9,-0.1865,11414.0,1000.0,,27.604863062212587,25.40792133149432,20.99265550592895,0.5428319803734185
2002-04-01,Bangladesh,2.97,3.01,1.1984849660952832,138933658.0,1055570.0,54724081490.5102,57.9,0.3964,11414.0,100400.0,,28.53763251834448,26.27816331757436,22.22400675879589,0.5198711827185347
2002-05-01,Bangladesh,2.95,3.0,1.024370465968562,138933658.0,1055570.0,54724081490.5102,57.9,-0.4624,11414.0,0.0,,29.6912837982178,26.766043018217545,23.4091806186143,0.4825630562181549
2002-06-01,Bangladesh,2.45,2.48,1.1919681025930955,138933658.0,1055570.0,54724081490.5102,57.9,0.0774,11414.0,49904.0,,28.34701194763187,26.93128991696284,24.360963228013816,0.3534527718950874
2002-07-01,Bangladesh,3.51,3.57,1.3107339248832468,138933658.0,1055570.0,54724081490.5102,57.9,1.0805,11414.0,1500000.0,,29.10179739921324,27.412777082198488,23.943287129555983,0.3741725101056597
2002-08-01,Bangladesh,4.28,4.36,0.9588590164531738,138933658.0,1055570.0,54724081490.5102,57.9,0.0274,11414.0,0.0,,27.5675752988426,27.023117762205004,23.86013714780092,0.4984707912737046
2002-09-01,Bangladesh,4.15,4.22,0.8637449536543872,138933658.0,1055570.0,54724081490.5102,57.9,-0.4029,11414.0,0.0,,27.64434038798015,26.96300871144979,23.8788944244385,0.6222280646214691
2002-10-01,Bangladesh,4.06,4.13,0.4792641960078431,138933658.0,1055570.0,54724081490.5102,57.9,-0.7519,11414.0,0.0,,26.73088788268388,25.412126899819214,22.89905089511666,0.623670502113315
2002-11-01,Bangladesh,4.05,4.12,2.142807760667148,138933658.0,1055570.0,54724081490.5102,57.9,1.1403,11414.0,0.0,,24.80196463267009,22.746864119883355,20.149379454718712,0.5555912202806045
2002-12-01,Bangladesh,3.81,3.87,0.1927038961829115,138933658.0,1055570.0,54724081490.5102,57.9,-0.191,11414.0,50000.0,,22.33108625924717,19.644816674693345,16.691149053265974,0.4672402249131172
2003-01-01,Bangladesh,2.89,2.94,0.8799847609535735,140970351.0,1029294.0,60158929188.2556,57.9,-0.0448,5964.0,0.0,,20.49690879083454,17.272749196725158,15.197453250679928,0.4376859150689191
