Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Precipitation_mm,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Barbados,,4.21,0.6371511637337911,43.79,136805810.0,2370.0,3054499999.0,2.0,-1.8088,,,,,,,-30.0,,,25.040525752241933,24.96456640748835,24.91419741722848,0.650852943390568
2001-02-01,Barbados,,3.45,1.0316197668693183,45.97,136805810.0,2371.0,3054500000.0,2.0,-0.2648,,,,,,,-30.0,0.0,,24.5993582453047,24.53096104406552,24.47436405817672,0.5602632916719101
2001-03-01,Barbados,,4.5,0.5203515877960285,20.34,136805810.0,2371.0,3054500000.0,2.0,-2.1541,,,,,,,-30.0,0.0,,25.159761313981903,25.10302804257316,25.05276209103164,0.4344177097076365
2001-04-01,Barbados,,5.63,0.5546413380238784,30.26,136805810.0,2371.0,3054500000.0,2.0,-1.6073,,,,,,,-30.0,0.0,,25.537298795912022,25.481586309840225,25.415081999037,0.3532039956202764
2001-05-01,Barbados,,7.17,0.490275123820915,31.7,136805810.0,2371.0,3054500000.0,2.0,-1.7114,,,,,,,-30.0,0.0,,26.55370497754825,26.517210926549467,26.459592704362763,0.3469055246270107
2001-06-01,Barbados,,6.96,0.3715238684299031,38.12,136805810.0,2371.0,3054500000.0,2.0,-1.4982,,,,,,,-30.0,0.0,,26.726332007514145,26.688946720015508,26.63712844848635,0.4291231811718931
2001-07-01,Barbados,,6.9,1.332608744649142,178.32,136805810.0,2371.0,3054500000.0,2.0,1.1844,,,,,,,-30.0,0.0,,26.61952314889561,26.57060000749499,26.508055889991056,0.5657497981105022
2001-08-01,Barbados,,4.65,0.934353433247089,136.21,136805810.0,2371.0,3054500000.0,2.0,-0.9171,,,,,,,-30.0,0.0,,26.855105172434207,26.779656665800303,26.70548634682933,0.6412717204658656
2001-09-01,Barbados,,2.83,0.9491971592746626,153.88,136805810.0,2371.0,3054500000.0,2.0,-1.2619,,,,,,,-30.0,0.0,,27.12325981987852,27.072688540207366,27.028500705295187,0.6243207095107317
2001-10-01,Barbados,,0.53,1.29641338176945,246.0,136805810.0,2371.0,3054500000.0,2.0,1.8855,,,,,,,-30.0,0.0,,26.43040604540101,26.35777289687951,26.28471972147628,0.6486905862447413
2001-11-01,Barbados,,-0.69,0.2977131476124957,50.65,136805810.0,2371.0,3054500000.0,2.0,-2.0186,,,,,,,-30.0,0.0,,26.71580935584177,26.65359541829088,26.59691287146677,0.6840141726956588
2001-12-01,Barbados,,-0.79,1.8105489609512635,169.1,136805810.0,2371.0,3054500000.0,2.0,2.3789,,,,,,,-30.0,0.0,,26.08168401820689,26.0181914285493,25.944151466123515,0.6624742876322989
2002-01-01,Barbados,,1.07,0.689032493388444,45.61,138933658.0,2386.0,3106500000.0,2.0,-0.2961,,,,,,,-67.0,0.0,,25.59324603747297,25.53398848000927,25.490048057802312,0.6675880745621082
2002-02-01,Barbados,,3.0,1.2185061361290794,54.11,138933658.0,2386.0,3106500000.0,2.0,-0.1783,,,,,,,-67.0,0.0,,25.15692813509986,25.084520539795392,25.03774972643174,0.5922511001187748
2002-03-01,Barbados,,2.38,0.66571254526227,24.39,138933658.0,2386.0,3106500000.0,2.0,-0.6431,,,,,,,-67.0,0.0,,25.62812205078785,25.56640870632685,25.508015363959885,0.4555807253229513
2002-04-01,Barbados,,1.67,0.968978007710558,54.53,138933658.0,2386.0,3106500000.0,2.0,1.1456,,,,,,,-67.0,0.0,,25.972156715393112,25.922822414888685,25.873532040913915,0.4924118096595047
2002-05-01,Barbados,,-1.35,0.8347600190353864,50.28,138933658.0,2386.0,3106500000.0,2.0,1.2278,,,,,,,-67.0,0.0,,26.69456263306324,26.648788959207195,26.59114676444761,0.488412721406712
2002-06-01,Barbados,,-1.24,0.5994550216216954,53.97,138933658.0,2386.0,3106500000.0,2.0,-0.7134,,,,,,,-67.0,0.0,,26.89999046325687,26.867165819437048,26.81528722974992,0.489252909705606
