Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Belarus,90.59,113.25,1.1242694228521128,9928549,142424,12354820143.8849,0.121,0.0431,,,,,,,-3887,0,,-0.887135118,-2.599091036,-4.008927163,0.1224382997835442
2001-2-1,Belarus,81.04,100.76,0.9832807278355417,9928549,142424,12354820143.8849,0.124,0.5047,,,,,,,-3887,0,,-0.80661855,-4.512315002,-6.940488992,0.1499872166003738
2001-3-1,Belarus,77.92,96.71,1.0200065354474865,9928549,142424,12354820143.8849,0.1293,0.1553,,,,,,,-3887,0,,1.9917689374698284,-0.365395432,-2.623793584,0.2744421741340049
2001-4-1,Belarus,74.86,92.74,1.519205395332635,9928549,142424,12354820143.8849,0.133,0.4239,,,,,,,-3887,0,,10.509762446085633,9.19875007587342,6.787884733,0.5360554820634031
2001-5-1,Belarus,71.58,88.5,0.4813880125228555,9928549,142424,12354820143.8849,0.1362,-0.6786,,,,,,,-3887,0,,14.60396906945016,12.51754444447755,11.23694958020286,0.701807409710034
2001-6-1,Belarus,65.03,80.08,1.1933163520770447,9928549,142424,12354820143.8849,0.138,0.732,,,,,,,-3887,0,,16.345768313937754,15.35143141688468,14.284299129909982,0.7154850953559828
2001-7-1,Belarus,60.23,73.94,1.0624935536734363,9928549,142424,12354820143.8849,0.1418,0.122,,,,,,,-3887,0,,23.901697208035387,22.229665737944856,20.761360976516585,0.7582291820247634
2001-8-1,Belarus,55.78,68.29,0.8346352900048699,9928549,142424,12354820143.8849,0.1446,-0.2863,,,,,,,-3887,0,,20.3005226791546,18.46103204953016,16.988970364806505,0.7308757056270232
2001-9-1,Belarus,49.01,59.73,1.4203344277217764,9928549,142424,12354820143.8849,0.1477,0.3964,,,,,,,-3887,0,,14.05799831814238,12.613845170670857,11.70319417317711,0.6462963310589668
2001-10-1,Belarus,46.79,56.94,0.8454917243750787,9928549,142424,12354820143.8849,0.1509,0.231,,,,,,,-3887,0,,10.889416672081095,8.37180283762018,6.594374039352601,0.5918865357447607
2001-11-1,Belarus,45.59,55.43,1.183423352386529,9928549,142424,12354820143.8849,0.154,0.32,,,,,,,-3887,0,,1.924736764695922,0.9473577452648668,-0.563172849,0.4334146231954201
2001-12-1,Belarus,46.1,56.07,0.7976984576980292,9928549,142424,12354820143.8849,0.158,-0.7286,,,,,,,-3887,0,,-5.821371152,-8.220918361,-10.2897405,0.0934783281869203
2002-1-1,Belarus,47.91,58.35,0.9854246379878354,9865548,145224,14594900944.7658,0.1638,0.4423,,,,,,,-7494,0,,-1.399566253,-3.449915576,-5.221338346,0.1247640181800916
2002-2-1,Belarus,47.58,57.93,1.2315338136275096,9865548,145224,14594900944.7658,0.167,1.2054,,,,,,,-7494,0,,3.3210313252040464,1.4664662700990334,-0.601468559,0.3496758102929681
2002-3-1,Belarus,45.58,55.43,0.5894452554453654,9865548,145224,14594900944.7658,0.1707,-1.1408,,,,,,,-7494,0,,4.406781009961208,2.893219805126023,1.4084532419840912,0.4358474624509498
2002-4-1,Belarus,45.1,54.82,0.8705809775275614,9865548,145224,14594900944.7658,0.1737,-1.3068,,,,,,,-7494,0,,9.143440352545896,7.803142691093967,6.617027049594469,0.5629375949190012
2002-5-1,Belarus,44.52,54.09,0.7164331603911808,9865548,145224,14594900944.7658,0.1769,-1.2337,,,,,,,-7494,0,,17.32280996589253,15.044902084558942,13.478847327283631,0.7468571435091615
2002-6-1,Belarus,43.47,52.79,1.0033507457967445,9865548,145224,14594900944.7658,0.18,-0.2763,,,,,,,-7494,0,,18.43772646586104,17.363581965056255,16.29122038947213,0.7341473698212281
2002-7-1,Belarus,42.81,51.96,0.5604959151068617,9865548,145224,14594900944.7658,0.1829,-1.5037,,,,,,,-7494,0,,24.16092405831944,22.01814170812389,20.56612399111515,0.7004792995894864
2002-8-1,Belarus,43.42,52.72,0.3743840963007575,9865548,145224,14594900944.7658,0.1849,-1.7413,,,,,,,-7494,0,,21.02215201675256,19.848592727635605,18.60834153288158,0.6503667608139357
2002-9-1,Belarus,42.1,51.07,0.7115116260920615,9865548,145224,14594900944.7658,0.1865,-0.5957,,,,,,,-7494,0,,14.301973851521836,12.893003673421047,11.68650618659126,0.5693770259938504
2002-10-1,Belarus,39.48,47.81,2.2671071284554585,9865548,145224,14594900944.7658,0.1884,2.019,,,,,,,-7494,0,,7.339672219881493,4.958318528834354,2.443781132851882,0.4492081623123253
2002-11-1,Belarus,37.77,45.67,0.795179161960424,9865548,145224,14594900944.7658,0.1902,-0.9887,,,,,,,-7494,0,,4.649167866177038,1.5000155066129537,-0.511810324,0.4243309043222425
2002-12-1,Belarus,34.8,42,0.5070960308792564,9865548,145224,14594900944.7658,0.192,-1.5586,,,,,,,-7494,0,,-7.765396541,-9.31153264,-10.70664003,0.203442942526535
2003-1-1,Belarus,32.51,39.17,0.7389483681144505,9796749,144590,17825444724.4878,0.195,-0.0547,,,,,,,-8967,0,,-3.685401252,-5.968888172,-7.413906376,0.1826251302438807
2003-2-1,Belarus,30.26,36.4,0.6771410088301704,9796749,144590,17825444724.4878,0.1972,-0.67,,,,,,,-8967,0,,-5.556576043,-7.397508018,-9.546845295,0.099681566677872
2003-3-1,Belarus,29.3,35.22,0.5177173952580858,9796749,144590,17825444724.4878,0.1996,-1.1477,,,,,,,-8967,0,,0.9836194725447172,-1.200624606,-3.384513088,0.2391450965562193
2003-4-1,Belarus,28.18,33.84,0.812480821667414,9796749,144590,17825444724.4878,0.2021,-0.1642,,,,,,,-8967,0,,6.511966726515027,4.78629018992126,2.9486230850220068,0.4511545538278305
2003-5-1,Belarus,27.87,33.46,1.114220329567899,9796749,144590,17825444724.4878,0.2042,0.1945,,,,,,,-8967,0,,18.46235780613398,15.140410972505094,12.388170558150136,0.6918038634027708
2003-6-1,Belarus,28.41,34.12,0.5774762302157886,9796749,144590,17825444724.4878,0.206,-0.9013,,,,,,,-8967,0,,17.805930815802697,15.648104401084652,13.615823936462448,0.7291474404091234
2003-7-1,Belarus,28.81,34.62,1.117905995126721,9796749,144590,17825444724.4878,0.2073,0.3332,,,,,,,-8967,0,,21.18139027831376,20.00131266005212,18.83865096799792,0.7572816064688619
2003-8-1,Belarus,27.57,33.09,1.1941426038234362,9796749,144590,17825444724.4878,0.209,0.3391,,,,,,,-8967,0,,19.395179797757063,17.15530628175344,15.636487866473487,0.7087603432894126
2003-9-1,Belarus,28.3,33.99,0.47484425829921245,9796749,144590,17825444724.4878,0.2108,-1.2325,,,,,,,-8967,0,,14.539378568861252,12.551351277462402,11.199051962958492,0.5521350308573387
2003-10-1,Belarus,28.51,34.25,1.4201381602403547,9796749,144590,17825444724.4878,0.2129,1.3887,,,,,,,-8967,0,,6.739566236926692,5.059540952975794,3.872817139984477,0.5412285065237761
2003-11-1,Belarus,26.85,32.22,0.5551724147702704,9796749,144590,17825444724.4878,0.2141,-0.7091,,,,,,,-8967,0,,5.180921978420713,2.957502456778116,1.5431235843234958,0.307542577429753
2003-12-1,Belarus,25.4,30.44,0.9524659925414402,9796749,144590,17825444724.4878,0.2156,-0.3599,,,,,,,-8967,0,,0.6431265677175588,-0.995031075,-2.541023718,0.2722587620351002
2004-1-1,Belarus,22.51,26.93,1.520414579984372,9730146,142625,23141566292.9462,0.2156,1.4052,,,,,,,-8845,0,,-4.91933951,-6.734396988,-8.093529908,0.0455405911433019
2004-2-1,Belarus,22.45,26.84,1.5754485496878217,9730146,142625,23141566292.9462,0.2151,2.0118,,,,,,,-8845,0,,-1.586751245,-4.604101573,-6.788083074,0.0995471106104727
2004-3-1,Belarus,21.8,26.06,0.8254702278398715,9730146,142625,23141566292.9462,0.215,0.4589,,,,,,,-8845,0,,2.82981614963984,0.7203859645254624,-0.620465793,0.2389885803655267
2004-4-1,Belarus,20.85,24.91,1.0861742726394183,9730146,142625,23141566292.9462,0.2153,-1.0022,,,,,,,-8845,0,,8.115805795457675,6.5433283738266255,5.158470726013206,0.5064985894575599
2004-5-1,Belarus,19.27,22.99,0.5829549309412213,9730146,142625,23141566292.9462,0.2152,-0.1382,,,,,,,-8845,0,,12.690799721338465,11.128815257415797,10.082844937232268,0.6811884923698559
2004-6-1,Belarus,18.39,21.92,0.9577507353718777,9730146,142625,23141566292.9462,0.2155,0.2729,,,,,,,-8845,0,,17.318420876397056,15.263114137803882,13.933628124660911,0.7592089863831485
2004-7-1,Belarus,17.74,21.13,0.8081469629381345,9730146,142625,23141566292.9462,0.2157,0.0861,,,,,,,-8845,0,,19.99684026984761,18.086619166303592,16.48298200791885,0.7602282114840352
2004-8-1,Belarus,17.32,20.63,1.2376572627092455,9730146,142625,23141566292.9462,0.2161,0.2693,,,,,,,-8845,0,,20.296599201489528,18.74794939161137,17.702017023230155,0.7232723479172474
2004-9-1,Belarus,15.44,18.37,1.0415581101304319,9730146,142625,23141566292.9462,0.2167,-0.4735,,,,,,,-8845,0,,14.044951332940002,12.910802546673608,11.913381237453905,0.6530574351218668
2004-10-1,Belarus,14.69,17.46,1.0355894055653359,9730146,142625,23141566292.9462,0.2172,0.5409,,,,,,,-8845,0,,10.100938087381335,8.033052684803181,6.24668479017032,0.5624777757339994
2004-11-1,Belarus,14.38,17.09,1.0080084006350443,9730146,142625,23141566292.9462,0.2174,0.1624,,,,,,,-8845,0,,3.442751863267688,0.5997191936285162,-1.601763111,0.2966201189649196
2004-12-1,Belarus,14.4,17.11,1.03785009147437,9730146,142625,23141566292.9462,0.217,-0.0518,,,,,,,-8845,0,,1.5705398108369764,-0.217481427,-1.894303939,0.2295263875864694
