Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,China,1.02,-0.4,1.3193391884678058,1270000000.0,7830809.0,1355036590251.52,8.27761,0.5546,,,,,,,158135.0,2574871.0,8.377719377444269,1.1964554817445787,-17.0072241246946,-30.766587403,0.1889038052954751
2001-02-01,China,0.1,-3.3,0.904592423632356,1270000000.0,7830809.0,1355036590251.52,8.27706,-0.2194,,,,,,,158135.0,830109.0,4.205694565035623,4.730223433176718,-11.8080290995114,-25.4467872392563,0.2008301086610988
2001-03-01,China,-0.6,-1.0,0.8812240954155639,1270000000.0,7830809.0,1355036590251.52,8.27753,-0.3681,,,,,,,158135.0,15850245.0,8.65361705273251,11.447495478968506,-2.75634079362805,-14.0908634760046,0.2239793943515209
2001-04-01,China,0.2,1.3,1.1251723316085245,1270000000.0,7830809.0,1355036590251.52,8.2771,-0.0693,,,,,,,158135.0,180193.0,18.5808947353679,15.908566157023133,7.13102822390897,-3.62774840460883,0.2536845199236596
2001-05-01,China,-0.5,1.7,1.0098350551281867,1270000000.0,7830809.0,1355036590251.52,8.27725,-0.2995,,,,,,,158135.0,10605.0,31.72230698118956,24.56273818067325,14.964322886468494,4.649673244517373,0.3176257019765485
2001-06-01,China,-1.2,1.0,0.9886935766328128,1270000000.0,7830809.0,1355036590251.52,8.27704,-0.1907,,,,,,,158135.0,5182359.0,62.836851128263966,28.617700280083568,20.82611729496955,10.985457441541882,0.3823468550091313
2001-07-01,China,-0.5,1.5,0.944456394842291,1270000000.0,7830809.0,1355036590251.52,8.27689,-0.354,,,,,,,158135.0,15458928.0,118.47897361010703,30.5245183185865,22.68162516324128,14.372405583371403,0.4577887960102473
2001-08-01,China,0.1,0.2,1.0042111584789533,1270000000.0,7830809.0,1355036590251.52,8.27697,-0.31,,,,,,,158135.0,3010.0,89.88066170223114,26.747872309530976,20.58877819426681,12.824658473845489,0.4475379357279654
2001-09-01,China,0.9,0.3,0.8810002697771518,1270000000.0,7830809.0,1355036590251.52,8.27681,-0.4331,,,,,,,158135.0,911227.0,38.57982441210595,22.455277506510413,14.560507033458975,5.284642198350696,0.3629351113048488
2001-10-01,China,0.3,0.8,1.2534120323557,1270000000.0,7830809.0,1355036590251.52,8.27681,0.2482,,,,,,,158135.0,17220.0,22.580384815471163,17.49598799264561,7.472300813931554,-4.05085025500221,0.2914122816841275
2001-11-01,China,-0.2,-0.8,0.8565737943126956,1270000000.0,7830809.0,1355036590251.52,8.27688,-0.4865,,,,,,,158135.0,0.0,5.346891154469432,10.06595041486952,-2.05175201352722,-14.6048503663804,0.2775938135304554
2001-12-01,China,0.1,-0.8,1.167363280414894,1270000000.0,7830809.0,1355036590251.52,8.27687,0.1947,,,,,,,158135.0,4000.0,5.145835692654358,2.5530355597055063,-12.2224871727256,-26.2113897385135,0.21608508171166
2002-01-01,China,0.3,-1.98,1.047170575426302,1280000000.0,7916788.0,1489821682050.54,8.27666,0.315,,,,,,,139955.0,674.0,5.291128993572511,4.25837698085337,-10.1398833740755,-24.8994874974732,0.202825701099505
2002-02-01,China,1.1,0.55,0.8254250064628937,1280000000.0,7916788.0,1489821682050.54,8.27667,-0.8289,,,,,,,139955.0,0.0,3.438511805759485,7.8072228477115,-5.68766776827942,-18.5031874247959,0.2001811327939652
2002-03-01,China,-1.3,-0.78,0.9987819493498452,1280000000.0,7916788.0,1489821682050.54,8.27708,-0.4074,,,,,,,139955.0,100000500.0,9.096294107179975,12.889895929316085,0.9767766730287804,-10.8465162010602,0.2412756722827717
2002-04-01,China,-0.3,-2.05,1.2737063522880314,1280000000.0,7916788.0,1489821682050.54,8.2772,0.4151,,,,,,,139955.0,60000000.0,30.132736530243697,16.88956665462922,6.966100369567357,-2.07862995995412,0.2659128963769201
2002-05-01,China,-0.3,-1.56,1.1205972596764409,1280000000.0,7916788.0,1489821682050.54,8.27699,0.2161,,,,,,,139955.0,20568801.0,31.98133576739235,22.879300956315888,14.820936911444903,4.766654996974523,0.3410327291233996
2002-06-01,China,-0.9,-0.23,1.274586625406952,1280000000.0,7916788.0,1489821682050.54,8.27705,0.332,,,,,,,139955.0,83695257.0,83.75422046253703,28.29103864034022,19.067278452743324,8.880269326104099,0.4123985653434886
2002-07-01,China,-0.7,-0.85,0.9489488310244047,1280000000.0,7916788.0,1489821682050.54,8.2768,-0.2663,,,,,,,139955.0,19756.0,101.31918920172755,30.143424688359744,22.20226900731285,13.8336417372509,0.4709575194859637
2002-08-01,China,0.3,-0.35,0.950386973622576,1280000000.0,7916788.0,1489821682050.54,8.2767,-0.584,,,,,,,139955.0,12589704.0,83.53319469356305,28.756143742222942,20.35884989125833,12.70776714612083,0.471139894295279
2002-09-01,China,1.0,-0.25,0.8840551701606388,1280000000.0,7916788.0,1489821682050.54,8.27696,-0.5675,,,,,,,139955.0,8080040.0,34.600005874031766,22.79062945048014,15.025065367098025,6.8808285607232165,0.3641412171955179
2002-10-01,China,0.2,-0.55,1.11259394797518,1280000000.0,7916788.0,1489821682050.54,8.277,0.2656,,,,,,,139955.0,50011.0,26.90459043296061,16.27443154447826,4.376176042505279,-5.90973974248413,0.2866455820773712
2002-11-01,China,-0.1,-0.15,0.7777278859434459,1280000000.0,7916788.0,1489821682050.54,8.27714,-0.0328,,,,,,,139955.0,0.0,4.686093174375098,8.705841043260364,-6.25114490770829,-20.031558587816,0.2576148266893275
