Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Croatia,4.8,2.43,1.9038691022567649,4299642.0,50954.0,23066883849.6467,8.098888,1.4821,,,,,,,-268691.0,0.0,118.63598946913788,11.00745913597848,3.5130692101375303,0.1806624709919333,0.3885523183996809
2001-02-01,Croatia,4.92,1.56,0.6272358538997257,4299642.0,50954.0,23066883849.6467,8.344957,-1.2882,,,,,,,-268691.0,0.0,40.32430129975319,10.252169931502578,3.7620014314603054,-0.27212496712093,0.451062038836536
2001-03-01,Croatia,4.17,1.84,1.609303147089205,4299642.0,50954.0,23066883849.6467,8.440485,1.0523,,,,,,,-268691.0,0.0,109.25788219645064,13.572931256858284,9.410874559313982,5.22124274879377,0.5239813432926583
2001-04-01,Croatia,5.01,2.11,1.2501493120566178,4299642.0,50954.0,23066883849.6467,8.54399,0.3387,,,,,,,-268691.0,0.0,90.9391130396244,13.800165006849513,9.782028985035764,4.911702007717565,0.6284122467715239
2001-05-01,Croatia,5.56,3.91,0.8265210635525193,4299642.0,50954.0,23066883849.6467,8.401878,-1.2079,,,,,,,-268691.0,0.0,66.4336004890718,19.676659971667902,16.764907496651404,11.99421604525662,0.736180194615053
2001-06-01,Croatia,4.38,4.64,1.187938363207823,4299642.0,50954.0,23066883849.6467,8.54613,0.175,,,,,,,-268691.0,0.0,109.4709759168806,21.911995527479405,17.810642689966755,13.06540535820858,0.6793676274487219
2001-07-01,Croatia,2.52,2.96,0.7460840862409234,4299642.0,50954.0,23066883849.6467,8.388399,-0.5723,,,,,,,-268691.0,0.0,44.44943430390274,25.62815995165101,21.504725977942712,16.47463487604614,0.72831764484548
2001-08-01,Croatia,3.37,2.12,0.4335914754959419,4299642.0,50954.0,23066883849.6467,8.214496,-1.6335,,,,,,,-268691.0,0.0,31.569356620161223,26.65907337639925,22.94656251227633,18.21802152408071,0.693483077194071
2001-09-01,Croatia,3.36,2.25,1.7549919125729017,4299642.0,50954.0,23066883849.6467,8.248113,1.8277,,,,,,,-268691.0,1200.0,167.26143850540925,19.684259711371567,14.551893868148568,9.693333604600696,0.6795363805253489
2001-10-01,Croatia,2.51,1.84,0.3902682540328677,4299642.0,50954.0,23066883849.6467,8.250315,-1.6071,,,,,,,-268691.0,0.0,41.60376267961422,19.36454058001118,14.442331408711084,11.079759729036766,0.6127508624669944
2001-11-01,Croatia,2.37,1.99,1.0887956483295635,4299642.0,50954.0,23066883849.6467,8.340104,-0.1461,,,,,,,-268691.0,0.0,109.54472253799624,12.853645727369551,4.355067866849822,0.0554876327514648,0.5333394230773761
2001-12-01,Croatia,2.5,2.67,0.651597146166787,4299642.0,50954.0,23066883849.6467,8.280737,-1.0818,,,,,,,-268691.0,0.0,57.347511493696864,7.202105725196134,-1.96982766784896,-5.58687014425953,0.2975542044048151
2002-01-01,Croatia,3.19,4.04,0.4991376702067033,4302174.0,50296.0,26757722428.6781,8.4552,-1.2926,,,,,,,-266897.0,0.0,31.44606270710201,8.340166715396379,0.0886327601099878,-4.06019765792353,0.3353835863801229
2002-02-01,Croatia,2.48,3.34,1.2415592693867514,4302174.0,50296.0,26757722428.6781,8.620424,-0.2578,,,,,,,-266897.0,0.0,73.78658051839844,11.808289509727842,5.666592191559687,1.7193612870715924,0.4272520777534562
2002-03-01,Croatia,2.62,2.09,0.5330971028550696,4302174.0,50296.0,26757722428.6781,8.457186,-1.5185,,,,,,,-266897.0,0.0,35.9881349537457,12.785477246520372,8.132736423902543,4.12641569158086,0.4761563658418563
2002-04-01,Croatia,1.5,1.1,1.4504787777096235,4302174.0,50296.0,26757722428.6781,8.359843,1.0506,,,,,,,-266897.0,0.0,105.79172960071708,14.738337813483383,10.041885094291558,4.9802648968167205,0.5921120890985078
2002-05-01,Croatia,1.22,-0.4,1.2047004811784114,4302174.0,50296.0,26757722428.6781,8.069732,0.1432,,,,,,,-266897.0,0.0,97.76229294566498,19.28615211979036,16.69110406875393,11.399541001678813,0.7454501125733124
2002-06-01,Croatia,0.81,-2.42,0.8403862017498259,4302174.0,50296.0,26757722428.6781,7.72245,-1.1296,,,,,,,-266897.0,0.0,76.07189683315448,23.85677485995825,20.439850976215723,15.48854298061798,0.7490714682423723
2002-07-01,Croatia,1.5,-1.64,1.4668575247450326,4302174.0,50296.0,26757722428.6781,7.405722,0.557,,,,,,,-266897.0,0.0,83.57778333786247,25.52964465643771,21.64744967321667,16.390319114603017,0.740322553403403
