Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Cyprus,-1.77,0.6,0.7512205782122763,964127.0,6302.0,10397898907.1038,0.62266500622665,-1.2962,,,,,,,1926.0,0.0,81.85589169167226,14.374720140682768,11.36976286686786,7.309366583055066,0.5464510277666328
2001-02-01,Cyprus,-0.22,1.01,1.0189388847571257,964127.0,6302.0,10397898907.1038,0.628298567479266,0.0425,,,,,,,1926.0,0.0,80.8356819345467,14.41512798581806,11.548889529762448,7.260415490468347,0.5913487258299035
2001-03-01,Cyprus,0.95,0.27,0.4075693675385361,964127.0,6302.0,10397898907.1038,0.657548658600737,-1.947,,,,,,,1926.0,0.0,25.50257378597323,17.148669979136514,15.811578457560415,13.127771016602878,0.5311866811163428
2001-04-01,Cyprus,0.71,1.06,1.5073959057030817,964127.0,6302.0,10397898907.1038,0.650660420326632,0.2147,,,,,,,1926.0,0.0,36.34594195595123,19.09826884799537,17.285434116414592,14.255628331502294,0.3972063987226724
2001-05-01,Cyprus,0.34,0.86,0.9005095891229767,964127.0,6302.0,10397898907.1038,0.679532481652623,0.066,,,,,,,1926.0,0.0,16.962793955438727,23.19875863598241,21.30758442694492,18.626393254597986,0.2914075227467936
2001-06-01,Cyprus,0.75,7.41,0.1182937712938728,964127.0,6302.0,10397898907.1038,0.678288001085261,-1.5145,,,,,,,1926.0,0.0,1.1600304101069916,27.913102298312765,25.58443811976747,23.126215362548862,0.2735763992662972
2001-07-01,Cyprus,-1.96,0.57,0.0,964127.0,6302.0,10397898907.1038,0.655093350802489,0.2849,,,,,,,1926.0,0.0,0.0,30.424016386462824,28.11791262209869,25.70007117896955,0.2759122205651051
2001-08-01,Cyprus,0.55,4.62,0.0116062778103228,964127.0,6302.0,10397898907.1038,0.62542998311339,-0.4105,,,,,,,1926.0,0.0,0.0781436551136035,29.76929105533071,27.8858221185036,25.4137277992823,0.2834648229658916
2001-09-01,Cyprus,1.47,6.75,0.1895710568770757,964127.0,6302.0,10397898907.1038,0.62625250501002,-0.2705,,,,,,,1926.0,0.0,1.3336970146438316,27.012243652343784,25.219517122126376,22.44130723741324,0.2783104376106414
2001-10-01,Cyprus,1.26,10.05,0.8218563479295659,964127.0,6302.0,10397898907.1038,0.634276290752252,0.0224,,,,,,,1926.0,0.0,26.06023422441538,23.59347885706092,20.97177655548745,17.146339240125428,0.2885675748051542
