Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Egypt,,0.82,0.1523534003535464,74652029.0,465475.0,96684636119.0,3.84,-0.885082248,,,,,,,16748.0,0.0,3.541438164401064,19.54876352945968,12.889020022677528,7.562424903787587,0.1235174287944821
2001-02-01,Egypt,,1.07,1.0157761370569376,74652029.0,465475.0,96684636119.0,3.84,-0.243043876,,,,,,,16748.0,,2.983496118158423,19.26578949065436,13.440283369834162,7.242192136673736,0.1247307714265306
2001-03-01,Egypt,,1.07,0.5036019860387412,74652029.0,465475.0,96684636119.0,3.84,-1.62309766,,,,,,,16748.0,,1.8341073023898755,25.722452951246737,20.02490546296013,13.828270848592126,0.12416858758665
2001-04-01,Egypt,,0.66,1.1641714089870951,74652029.0,465475.0,96684636119.0,3.84,-0.246793674,,,,,,,16748.0,0.0,0.9085985742541868,29.323697450425925,23.03226261233152,16.220642979939782,0.1161720960284362
2001-05-01,Egypt,,0.57,0.1387622479923288,74652029.0,465475.0,96684636119.0,3.85,-0.521908284,,,,,,,16748.0,,0.0820096862078914,32.497500130438084,26.49345415128971,19.0092556327902,0.1103349518063084
2001-06-01,Egypt,,0.9,0.0,74652029.0,465475.0,96684636119.0,3.85,0.270701618,,,,,,,16748.0,10000.0,0.0,33.00853958129886,27.725011389614053,21.79341642591692,0.1142051861282124
2001-07-01,Egypt,,1.14,0.0001655477747891,74652029.0,465475.0,96684636119.0,3.85,0.015801361,,,,,,,16748.0,0.0,0.0004369287501934,34.43365600339831,29.7463986686613,23.66571823038084,0.1199093839463563
2001-08-01,Egypt,,0.97,0.009584049300503,74652029.0,465475.0,96684636119.0,3.89,-0.832705556,,,,,,,16748.0,,0.0015036160753503,35.52677803449734,30.51898289024428,23.195439828852216,0.1179150581606315
2001-09-01,Egypt,,0.97,0.0006012770335225,74652029.0,465475.0,96684636119.0,4.14,-0.827188315,,,,,,,16748.0,,0.0011726714629135,34.23259684244795,28.018952088459628,20.61143527560768,0.1128674374770409
2001-10-01,Egypt,,1.71,0.0345048211976762,74652029.0,465475.0,96684636119.0,4.14,0.064859699,,,,,,,16748.0,0.0,0.3137674396259534,29.480559880246403,22.62958544924396,16.396026845132155,0.1133264777847838
2001-11-01,Egypt,,1.05,0.4652105197036196,74652029.0,465475.0,96684636119.0,4.14,-0.19232487,,,,,,,16748.0,0.0,2.1164046443324627,23.63023806677927,17.411738793457346,11.998437394036216,0.1134294586502936
2001-12-01,Egypt,,1.78,0.5024136961771921,74652029.0,465475.0,96684636119.0,4.49,-0.168030794,,,,,,,16748.0,0.0,4.846460954114795,20.463777222171927,13.19216237204222,7.914053914880242,0.1181515227265597
2002-01-01,Egypt,,3.6,0.3163572661736031,76239137.0,470750.0,85146067416.0,4.5,1.068731335,,,,,,,84306.0,0.0,5.840549192531735,18.2812894472512,10.593209964987407,4.0241174882458495,0.1220056576747045
2002-02-01,Egypt,,3.51,0.5494059690238395,76239137.0,470750.0,85146067416.0,4.5,-0.56406283,,,,,,,84306.0,0.0,3.088359648940555,21.39633708227251,15.144133237736073,9.743568992614769,0.1250301091572447
2002-03-01,Egypt,,3.74,0.4042947618783531,76239137.0,470750.0,85146067416.0,4.5,-0.869047245,,,,,,,84306.0,0.0,1.817015242713178,24.419205930156124,18.58437327245423,11.918329124040495,0.1204598930393938
2002-04-01,Egypt,,4.07,0.2011016442495937,76239137.0,470750.0,85146067416.0,4.5,-0.150768701,,,,,,,84306.0,,0.4762318509141569,28.751317956712512,22.154707768219907,14.515030521816698,0.1157711852828362
2002-05-01,Egypt,,4.39,0.1399838784905333,76239137.0,470750.0,85146067416.0,4.5,-0.419203911,,,,,,,84306.0,0.0,0.0789370309370994,31.43593895614788,25.90074713744121,18.28232987516673,0.1121646173841081
2002-06-01,Egypt,,4.21,0.1635341083428655,76239137.0,470750.0,85146067416.0,4.5,-0.295420148,,,,,,,84306.0,0.0,0.0003522011899669,33.55395096672908,27.94005946849024,21.124323145548544,0.1158900266519782
2002-07-01,Egypt,,3.95,9.890912836555804e-06,76239137.0,470750.0,85146067416.0,4.5,-1.76582726,,,,,,,84306.0,0.0,0.0004151257049136,35.35551726228448,31.21931257677284,24.019293618971343,0.1206419589893335
2002-08-01,Egypt,,4.1,0.0004020277437442,76239137.0,470750.0,85146067416.0,4.5,-1.355393429,,,,,,,84306.0,0.0,0.0007978312053262,35.08668652196087,30.290914915252927,23.09222037612756,0.1192659110016464
2002-09-01,Egypt,,4.58,0.0510935277171722,76239137.0,470750.0,85146067416.0,4.5,-1.574824914,,,,,,,84306.0,0.0,0.0035319401076619,34.09798079596629,28.905610499199668,20.9274784088135,0.1135919500876395
2002-10-01,Egypt,,4.31,1.931791612208273,76239137.0,470750.0,85146067416.0,4.5,-0.386457943,,,,,,,84306.0,0.0,0.8898951339860613,30.328082103114014,23.792425881946823,18.04798980220676,0.1132271311307817
2002-11-01,Egypt,,5.29,0.2378003388037829,76239137.0,470750.0,85146067416.0,4.5,-1.188195716,,,,,,,84306.0,0.0,2.1217492590373253,24.972941737704843,18.75922190174589,13.278790262010377,0.1163443614698814
2002-12-01,Egypt,,4.86,0.7779081498278356,76239137.0,470750.0,85146067416.0,4.5,-0.338408198,,,,,,,84306.0,0.0,5.075390230310762,20.800836448259247,13.57220191093586,6.995747297553635,0.1198759789713163
2003-01-01,Egypt,,4.42,0.828354270950239,77853548.0,477304.0,80288461538.0,5.3783,-1.793937052,,,,,,,86382.0,0.0,3.732445808306603,20.44529536257511,14.041436001199656,8.654379493959539,0.1238697860181385
2003-02-01,Egypt,,4.89,1.2757918748515462,77853548.0,477304.0,80288461538.0,5.5136,0.375439349,,,,,,,86382.0,,4.142875286508302,19.252491455986387,12.921446742052863,6.136899589356972,0.1237284424079913
2003-03-01,Egypt,,5.41,0.6665606169587651,77853548.0,477304.0,80288461538.0,5.7284,0.804757842,,,,,,,86382.0,,2.9903492790871216,21.223772467336342,15.44822127597547,8.081606493714048,0.1241717580858139
2003-04-01,Egypt,,6.03,0.5169814736493191,77853548.0,477304.0,80288461538.0,5.8875,-0.472929784,,,,,,,86382.0,,0.4560592158120459,28.70260528988308,22.65061786075421,15.499743419223364,0.1188932250373241
2003-05-01,Egypt,,6.47,0.7108233532511925,77853548.0,477304.0,80288461538.0,5.9733,-1.026213438,,,,,,,86382.0,0.0,0.2453110985759299,34.17845376127514,27.3006264332692,20.54368026077111,0.1131903026275714
2003-06-01,Egypt,,6.69,0.503785563037247,77853548.0,477304.0,80288461538.0,6.0329,-1.341649394,,,,,,,86382.0,,0.0018018592108744,34.24000742170546,29.31537109466172,21.778036393059665,0.1171064212607958
2003-07-01,Egypt,,7.05,0.031963597196866,77853548.0,477304.0,80288461538.0,6.1364,-1.184459449,,,,,,,86382.0,0.0,0.002645658287829,33.94391758006111,29.59149255089005,22.99526324118341,0.1207128608897451
2003-08-01,Egypt,,7.11,0.0111371775927821,77853548.0,477304.0,80288461538.0,6.1492,-1.105238023,,,,,,,86382.0,0.0,0.0008390157458629,35.2460203765541,29.904504345867394,23.425810258106537,0.1201867052039607
2003-09-01,Egypt,,7.53,0.0001747216164626,77853548.0,477304.0,80288461538.0,6.1257,-0.63488918,,,,,,,86382.0,,0.0011423864827962,33.63772383795845,27.394520584770305,20.366765721639013,0.1134705220550943
2003-10-01,Egypt,,7.81,0.4419631999359516,77853548.0,477304.0,80288461538.0,6.135,-0.639189796,,,,,,,86382.0,,0.3456863813603669,30.844969357726427,24.65322898312872,18.37275151078421,0.1125291008576933
2003-11-01,Egypt,,7.53,0.7210889745002879,77853548.0,477304.0,80288461538.0,6.1304,-0.815104865,,,,,,,86382.0,0.0,2.105216149304012,24.85761197408044,18.71490590032141,12.700179248386007,0.1158447249438684
2003-12-01,Egypt,,8.43,0.5904622797465928,77853548.0,477304.0,80288461538.0,6.1532,-0.348117908,,,,,,,86382.0,0.0,5.580503398197964,21.13553195666242,13.22164730009223,8.019512656427196,0.1193450109563411
2004-01-01,Egypt,,11.17,1.9672837841956303,79477443.0,484912.0,78782467532.0,6.1602,-0.1501474,,,,,,,91473.0,0.0,5.840197728975955,19.39365139622845,12.429908443431714,5.950838056174689,0.1221430721110152
2004-02-01,Egypt,,15.59,0.6206107092789818,79477443.0,484912.0,78782467532.0,6.1665,-0.853434805,,,,,,,91473.0,0.0,4.122703909589649,20.060628312209587,14.414942840040908,7.98830095049982,0.1236734102840133
2004-03-01,Egypt,,18.17,0.9189331901403018,79477443.0,484912.0,78782467532.0,6.168,-0.919944732,,,,,,,91473.0,0.0,2.4150820301294327,24.93940116308073,18.77031307985908,12.1434790990686,0.1237798955326378
2004-04-01,Egypt,,18.45,0.7077765043048304,79477443.0,484912.0,78782467532.0,6.1937,-0.327880249,,,,,,,91473.0,,0.5848947938743035,28.51022311316597,22.24593896173184,15.179130448235412,0.1176928513974281
2004-05-01,Egypt,,17.5,0.5142871243717353,79477443.0,484912.0,78782467532.0,6.1936,-0.7637848,,,,,,,91473.0,0.0,0.2693351335862178,33.98880354358306,27.69847651111536,20.186552199497044,0.1107753015643143
2004-06-01,Egypt,,17.13,0.000628076715637,79477443.0,484912.0,78782467532.0,6.1899,-0.344761688,,,,,,,91473.0,0.0,1.973478503597586e-06,33.53635436164012,28.148991033720847,21.016858376397067,0.1175886918502061
2004-07-01,Egypt,,16.07,4.495366953233979e-05,79477443.0,484912.0,78782467532.0,6.1971,-0.995458992,,,,,,,91473.0,,0.0004151257300525,35.08227898792558,29.97302004607218,23.432925304289824,0.123753190059116
