Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Ethiopia,3.05,-7.46,0.3593321746395981,69487762.0,988227.0,8231326016.0,8.341,0.0911,807.624,161103.187,5305164.697,,,,81269.0,5955.0,6.389956841,30.95043524,22.00616241,5.760084304,0.328991247896169
2001-02-01,Ethiopia,-0.43,-8.54,0.513136179266364,69487762.0,988227.0,8231326016.0,8.368,-0.553,0.0,13157.241,3714030.348,,559798.672,,81269.0,0.0,10.74172418,32.18710936,23.42284328,6.073197415,0.2935927567391451
2001-03-01,Ethiopia,-2.11,-14.01,1.0017070974155748,69487762.0,988227.0,8231326016.0,8.397,0.1994,1249361.957,27896.822,8659770.342,,,,81269.0,0.0,53.56752685,33.38521074,24.00983177,6.030915443,0.3017574387877788
2001-04-01,Ethiopia,-1.18,-18.63,0.7352328643740671,69487762.0,988227.0,8231326016.0,8.423,-0.9756,0.0,363.163,,,698330.355,,81269.0,0.0,73.97030806,36.39399096,24.04392303,7.055527963,0.366767235745601
2001-05-01,Ethiopia,-0.48,-18.53,0.9265389844796996,69487762.0,988227.0,8231326016.0,8.437,-0.3716,231166.469,13315.37,6242081.203,,,,81269.0,0.0,92.56341298,37.35034896,24.05612978,7.149954137,0.4094648374613705
2001-06-01,Ethiopia,-0.42,-19.57,0.8161964175198579,69487762.0,988227.0,8231326016.0,8.459,0.2862,652.623,59795.181,8373857.584,,,,81269.0,0.0,79.1407756,37.93055021,22.79724762,6.469626278,0.3053745016243571
2001-07-01,Ethiopia,-1.78,-22.71,0.84132229672861,69487762.0,988227.0,8231326016.0,8.483,0.0832,1263604.901,36692.974,27232592.52,2058.544,,,81269.0,6000.0,142.4550531,37.52043618,22.00329209,6.460994503,0.4189719615375631
2001-08-01,Ethiopia,-0.24,-22.0,1.1741595943206884,69487762.0,988227.0,8231326016.0,8.501,-0.0074,1135.434,21511.906,659569.476,504.899,,,81269.0,33500.0,144.2932858,35.87392763,21.99467397,6.727094105,0.4733858009273116
2001-09-01,Ethiopia,1.57,-18.87,0.9508646842395774,69487762.0,988227.0,8231326016.0,8.519,-0.5478,0.0,406376.658,5826293.741,,,,81269.0,2211.0,83.60938002,36.15030789,22.74874519,6.225023058,0.4714980407553396
2001-10-01,Ethiopia,-0.47,-16.7,0.9907711741149896,69487762.0,988227.0,8231326016.0,8.5435,-0.1307,140084.613,22870.996,44989607.44,101.019,,,81269.0,0.0,83.85082157,36.1429659,22.43664926,6.172530541,0.464588035509231
