Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Greece,-1.6,1.94,1.0406202632691497,10862132.0,102535.0,132050000000.0,0.9338,-0.452571368,,,,,,,13029.0,,86.97010858,14.34354365,6.065795353,-2.062690604,0.4687835176476683
2001-02-01,Greece,-0.1,1.73,0.7493607329354945,10862132.0,102535.0,132050000000.0,0.92325,-0.435755444,,,,,,,13029.0,,55.83689987,13.57372929,6.366866042,-0.452844252,0.5164555933518356
2001-03-01,Greece,1.96,2.06,0.641245261216604,10862132.0,102535.0,132050000000.0,0.89635,-1.837706217,,,,,,,13029.0,,46.00481701,16.59191385,11.60496535,4.877542627,0.5474737448321043
2001-04-01,Greece,0.94,2.54,1.625788446625305,10862132.0,102535.0,132050000000.0,0.8898,1.273092208,,,,,,,13029.0,,85.24946254,16.6517899,11.52278877,4.398366504,0.5700315905045447
2001-05-01,Greece,0.42,4.59,0.9872893001356094,10862132.0,102535.0,132050000000.0,0.8611,-0.080204533,,,,,,,13029.0,,43.83181676,20.95593585,16.89853272,10.36580333,0.5632832490525994
2001-06-01,Greece,-0.11,6.83,0.5329204488927778,10862132.0,102535.0,132050000000.0,0.8506,-1.2739828,,,,,,,13029.0,,15.09416065,25.90806215,21.0147066,13.58559308,0.4957438671039645
2001-07-01,Greece,-1.75,6.43,0.9008575893060656,10862132.0,102535.0,132050000000.0,0.8681,-0.214669266,,,,,,,13029.0,,16.34631902,29.24945321,24.61883108,16.46779894,0.493692878165455
2001-08-01,Greece,0.02,5.92,0.9108780266442466,10862132.0,102535.0,132050000000.0,0.90815,-0.229344327,,,,,,,13029.0,,16.81734977,29.68101191,24.6136733,16.92437811,0.495284657520742
2001-09-01,Greece,1.91,6.37,0.6991489557267064,10862132.0,102535.0,132050000000.0,0.9121,-0.873035613,,,,,,,13029.0,,21.34954419,25.43147651,20.30242333,12.09774712,0.4659183215659868
2001-10-01,Greece,0.32,6.46,0.2647048559849999,10862132.0,102535.0,132050000000.0,0.90505,-1.808321386,,,,,,,13029.0,,16.79205244,22.27941688,16.33577893,9.004811182,0.4478602742540334
2001-11-01,Greece,0.11,6.75,1.058031074926326,10862132.0,102535.0,132050000000.0,0.88905,0.163625996,,,,,,,13029.0,,116.0401396,17.32895768,9.093797456,1.268408097,0.4527603233335507
2001-12-01,Greece,0.94,10.13,1.410880005406821,10862132.0,102535.0,132050000000.0,0.88685,0.702605617,,,,,,,13029.0,,162.991811,13.38472554,1.769694682,-7.165210408,0.3224495817219975
2002-01-01,Greece,-0.27,12.85,0.5767092179370299,10902022.0,103812.0,150254000000.0,0.8735,-1.133884017,,,,,,,4243.0,,53.57631813,12.35830925,3.142284717,-4.51820547,0.3825584709381643
2002-02-01,Greece,-1.06,8.64,0.4602572034921739,10902022.0,103812.0,150254000000.0,0.86755,-1.843915783,,,,,,,4243.0,,31.45985676,14.88197929,7.9442645,1.137239938,0.4544968204594526
2002-03-01,Greece,2.53,8.14,1.1804960052726368,10902022.0,103812.0,150254000000.0,0.8741,0.050258835,,,,,,,4243.0,,81.35075324,15.08028624,9.37960722,2.468320198,0.4920040447294075
2002-04-01,Greece,0.77,7.22,1.1341673775917738,10902022.0,103812.0,150254000000.0,0.8933,0.996349649,,,,,,,4243.0,,60.28990887,16.19256416,11.18113942,3.977028677,0.5590716151933346
2002-05-01,Greece,-0.01,2.99,0.7191815092974396,10902022.0,103812.0,150254000000.0,0.92785,-1.118569708,,,,,,,4243.0,,32.78344105,21.23445994,16.61598084,10.19666277,0.5724306340305652
2002-06-01,Greece,-0.18,3.89,0.9852734512547174,10902022.0,103812.0,150254000000.0,0.97645,-1.170759546,,,,,,,4243.0,,18.52471467,26.71396073,22.03713066,14.74924448,0.5284887264672572
2002-07-01,Greece,-1.72,3.91,2.3592367950095854,10902022.0,103812.0,150254000000.0,0.98525,1.637347275,,,,,,,4243.0,,40.69691867,28.96857537,24.49679664,16.8839032,0.531278345688323
2002-08-01,Greece,0.22,4.15,2.2342499984323254,10902022.0,103812.0,150254000000.0,0.98055,1.610071468,,,,,,,4243.0,,27.25203371,27.41551244,22.65440989,14.76981037,0.544017921419744
2002-09-01,Greece,1.89,3.86,2.962108168888136,10902022.0,103812.0,150254000000.0,0.9834,2.009589377,,,,,,,4243.0,,81.84754933,24.53469412,18.40975455,10.79753049,0.5702654704561376
2002-10-01,Greece,0.52,4.08,1.310111397834394,10902022.0,103812.0,150254000000.0,0.98375,0.151585829,,,,,,,4243.0,,83.65897298,21.5644076,14.79187879,8.02974751,0.5845392680482474
2002-11-01,Greece,0.02,3.99,1.0388739713844657,10902022.0,103812.0,150254000000.0,0.99705,-0.10020134,,,,,,,4243.0,,107.047702,18.61243555,11.04045139,4.405965826,0.5557491699183509
2002-12-01,Greece,0.69,0.84,1.830432250016215,10902022.0,103812.0,150254000000.0,1.0335,1.516140005,,,,,,,4243.0,,204.5298852,14.44059252,5.571262231,-3.157893285,0.4569182424541171
2003-01-01,Greece,-0.51,-1.42,1.8325877604435363,10928070.0,105880.0,196931000000.0,1.0719,0.93770812,,,,,,,9708.0,,157.5363639,14.78394729,6.440206841,-1.645782216,0.5056929418258562
2003-02-01,Greece,0.1,3.71,1.369149857236841,10928070.0,105880.0,196931000000.0,1.07775,0.816152836,,,,,,,9708.0,600000.0,100.671161,10.66348476,1.406469743,-8.107409609,0.4193155951171771
