Year-Month,Country,food_inflation,inflation-rate(heading),precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,food_inflation.1,NDVI_Ratio
2001-01-01,Guyana,5.74,3.85,0.5654528968663431,764477.0,5830.0,712167450.2,186.25,-1.2708,,,,,,,-414.0,0.0,81.8126248,27.23399538,23.56544004,17.05282991,,0.6701401326494099
2001-02-01,Guyana,5.72,1.71,0.4538828836971681,764477.0,5830.0,712167450.2,186.25,-1.3493,,,,,,,-414.0,0.0,45.50039403,27.89662561,24.05690261,17.38749941,,0.6058412028996738
2001-03-01,Guyana,7.06,3.12,0.5841171435692327,764477.0,5830.0,712167450.2,186.25,-0.0369,,,,,,,-414.0,0.0,73.94715271,28.84519268,25.096447,18.64791131,,0.5849846737741975
2001-04-01,Guyana,8.51,4.06,0.6818049443999853,764477.0,5830.0,712167450.2,186.5,-0.9712,,,,,,,-414.0,0.0,127.1258597,28.77096308,25.02077345,18.94270787,,0.5619746541450854
2001-05-01,Guyana,12.13,4.49,0.967020298670456,764477.0,5830.0,712167450.2,186.75,-0.7473,,,,,,,-414.0,0.0,340.7967705,26.84634558,24.59069011,18.55874267,,0.6340644014341666
2001-06-01,Guyana,11.17,3.49,0.9181473349530392,764477.0,5830.0,712167450.2,186.75,-0.4422,,,,,,,-414.0,0.0,309.2373877,25.55791567,23.48230462,17.61266556,,0.5202514877801198
2001-07-01,Guyana,10.75,2.05,0.91920195928295,764477.0,5830.0,712167450.2,186.75,-0.3437,,,,,,,-414.0,0.0,252.5496726,25.74817213,23.9569252,17.66535596,,0.6764787834680024
2001-08-01,Guyana,10.24,1.41,0.9019538101107456,764477.0,5830.0,712167450.2,186.75,-0.2217,,,,,,,-414.0,0.0,176.6224433,26.52494304,24.45650959,17.99432308,,0.7409046411747098
2001-09-01,Guyana,14.75,1.47,1.2079675691749474,764477.0,5830.0,712167450.2,189.25,0.6396,,,,,,,-414.0,0.0,126.7750587,27.1865899,24.94986901,18.38479682,,0.7601967826813809
2001-10-01,Guyana,15.43,2.09,0.670052138025488,764477.0,5830.0,712167450.2,189.75,-0.6308,,,,,,,-414.0,0.0,54.5624561,29.38075887,25.99217784,19.06585421,,0.7211858666750007
2001-11-01,Guyana,15.52,2.46,0.672777796560491,764477.0,5830.0,712167450.2,189.5,-1.2481,,,,,,,-414.0,0.0,77.03784095,29.32757422,25.79663602,18.92553429,,0.7620595706206084
2001-12-01,Guyana,15.37,1.52,0.7297368850418454,764477.0,5830.0,712167450.2,189.5,-0.0397,,,,,,,-414.0,0.0,128.2512981,28.90340623,25.141589,18.72417289,,0.6625793907476403
2002-01-01,Guyana,13.5,1.77,0.7842416199975963,763652.0,5931.0,726131434.7,189.75,-0.5902,,,,,,,-1124.0,0.0,119.1928689,28.40947115,24.47820104,17.92001383,,0.6693737053668309
2002-02-01,Guyana,9.51,4.96,0.518457727795316,763652.0,5931.0,726131434.7,190.25,-0.9742,,,,,,,-1124.0,0.0,51.68852876,28.15657355,24.39135612,17.85752744,,0.5840342542369831
2002-03-01,Guyana,9.59,4.09,1.352335979426352,763652.0,5931.0,726131434.7,190.5,0.2959,,,,,,,-1124.0,0.0,171.7633796,28.58068001,24.78470168,18.55368016,,0.5078724514517086
2002-04-01,Guyana,9.79,4.69,1.4212354061223018,763652.0,5931.0,726131434.7,190.5,0.8566,,,,,,,-1124.0,0.0,262.0792647,26.57521932,24.50803445,18.51884454,,0.5869687684473821
2002-05-01,Guyana,11.39,5.24,1.0552392072733825,763652.0,5931.0,726131434.7,190.5,0.6049,,,,,,,-1124.0,0.0,349.6425221,26.18996071,24.33465881,18.4369444,,0.5510906222551841
2002-06-01,Guyana,8.32,6.1,1.276908542589326,763652.0,5931.0,726131434.7,190.75,1.2194,,,,,,,-1124.0,0.0,425.3910949,25.42070715,23.58444351,17.76410993,,0.6319193268314364
2002-07-01,Guyana,10.93,6.46,0.6686143305292312,763652.0,5931.0,726131434.7,191.25,-0.9025,,,,,,,-1124.0,0.0,182.4435418,26.15668966,24.44651768,18.18395728,,0.6977681649605848
2002-08-01,Guyana,9.63,5.99,0.8297480831576941,763652.0,5931.0,726131434.7,191.0,0.0493,,,,,,,-1124.0,0.0,165.007559,26.56560642,24.60491203,18.15379369,,0.7676655181842411
2002-09-01,Guyana,8.88,5.92,0.5846627556738395,763652.0,5931.0,726131434.7,191.0,-1.0417,,,,,,,-1124.0,0.0,62.31823726,28.36852116,25.79515256,18.80055784,,0.7921296545143528
2002-10-01,Guyana,7.7,6.57,0.4844503057560922,763652.0,5931.0,726131434.7,190.0,-1.1576,,,,,,,-1124.0,0.0,42.17564689,30.29732038,26.54200148,19.26789488,,0.7011941898148837
2002-11-01,Guyana,7.28,6.17,0.7684535856255513,763652.0,5931.0,726131434.7,191.75,-0.2674,,,,,,,-1124.0,0.0,81.45319052,29.15303885,25.30239499,18.68795639,,0.7215404059406336
2002-12-01,Guyana,7.68,6.04,0.7071187738389456,763652.0,5931.0,726131434.7,191.75,-0.6535,,,,,,,-1124.0,0.0,113.5650113,28.44391861,24.66903645,17.95617289,,0.6651155991464506
2003-01-01,Guyana,5.92,7.17,0.389464923939237,763101.0,5980.0,743063950.3,191.75,-1.9249,,,,,,,-1371.0,0.0,56.23353747,28.57124567,24.93377847,18.24309967,,0.6889628021153593
2003-02-01,Guyana,12.1,4.8,0.4918593582056196,763101.0,5980.0,743063950.3,192.25,-1.3819,,,,,,,-1371.0,0.0,50.53962646,29.0764835,25.30027405,18.68835513,,0.6070956595733512
2003-03-01,Guyana,11.9,6.38,0.3674321256094331,763101.0,5980.0,743063950.3,193.75,-1.1634,,,,,,,-1371.0,0.0,43.63289533,29.32319021,25.80634336,18.7805496,,0.596263400729266
2003-04-01,Guyana,11.57,7.07,0.8585511789370885,763101.0,5980.0,743063950.3,193.75,-0.9039,,,,,,,-1371.0,0.0,167.6935339,28.34887536,25.48585447,19.03736549,,0.5391349185043366
2003-05-01,Guyana,10.59,6.74,1.1691350164488734,763101.0,5980.0,743063950.3,192.5,0.8376,,,,,,,-1371.0,0.0,393.7696196,26.01059527,24.23699284,18.41722854,,0.5681399868628428
2003-06-01,Guyana,11.86,5.75,0.9405701072340028,763101.0,5980.0,743063950.3,193.75,0.4439,,,,,,,-1371.0,0.0,313.525447,25.75911821,23.93734309,18.11115,,0.6608757777834848
2003-07-01,Guyana,9.42,,1.1210726217645344,763101.0,5980.0,743063950.3,,1.0704,,,,,,,-1371.0,0.0,309.8832053,25.88925896,23.79301627,17.7153862,,0.6953152549384617
2003-08-01,Guyana,8.29,5.6,0.9661110603227416,763101.0,5980.0,743063950.3,194.5,0.0818,,,,,,,-1371.0,0.0,190.872089,26.93836381,24.80730742,18.24162847,,0.7705598363306146
2003-09-01,Guyana,6.8,6.16,1.1850697243350703,763101.0,5980.0,743063950.3,195.25,0.8484,,,,,,,-1371.0,0.0,122.7182654,27.42423642,25.16050152,18.6377374,,0.7551098112378354
2003-10-01,Guyana,7.57,5.88,0.8398754449331174,763101.0,5980.0,743063950.3,195.25,-0.6034,,,,,,,-1371.0,0.0,64.57515783,28.69042047,26.08838358,19.22739596,,0.7562807166919602
2003-11-01,Guyana,6.9,5.47,1.2634613637410503,763101.0,5980.0,743063950.3,196.0,-0.0061,,,,,,,-1371.0,0.0,130.2398723,28.34437684,25.50221904,18.90593825,,0.6882453095192703
