Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-01-01,Honduras,0.9,10.09,0.9276249523168854,6757993.0,34782.0,7651162302.0,15.18,-0.7043,,,,,,,-1916.0,0.0,65.94506137,28.52887263,19.92775351,13.98348873,0.7187284715939161
2001-02-01,Honduras,1.3,10.18,0.9802887919530768,6757993.0,34782.0,7651162302.0,15.2274,0.2119,,,,,,,-1916.0,0.0,42.04432997,29.75739861,21.37479049,15.2003133,0.6660717633858967
2001-03-01,Honduras,0.86,9.75,0.8376210293284686,6757993.0,34782.0,7651162302.0,15.2823,-0.9838,,,,,,,-1916.0,0.0,30.76552442,29.35910345,22.42120044,16.14466135,0.6351166151150818
2001-04-01,Honduras,0.61,7.84,0.5853099705845047,6757993.0,34782.0,7651162302.0,15.3325,-0.393,,,,,,,-1916.0,0.0,22.87166299,31.61994582,23.919688,17.1647402,0.5932768877463723
2001-05-01,Honduras,1.19,8.61,1.2287003163660275,6757993.0,34782.0,7651162302.0,15.3872,0.7193,,,,,,,-1916.0,0.0,192.0280563,28.47429365,23.71197759,17.26601544,0.6145374392985502
2001-06-01,Honduras,0.65,7.93,0.5854798436741195,6757993.0,34782.0,7651162302.0,15.4622,-2.0845,,,,,,,-1916.0,0.0,138.2526916,28.71312671,23.54055166,16.52028546,0.6237503050333055
2001-07-01,Honduras,0.54,8.22,0.7776632054837848,6757993.0,34782.0,7651162302.0,15.5032,-0.3546,,,,,,,-1916.0,195000.0,168.7201872,29.2894109,23.61942334,16.51543786,0.7073244372985763
2001-08-01,Honduras,0.7,8.01,1.0332263612889083,6757993.0,34782.0,7651162302.0,15.5482,0.2862,,,,,,,-1916.0,0.0,225.4676357,29.41343378,23.57138624,16.85033262,0.7279365934723661
2001-09-01,Honduras,0.75,8.77,0.9212418028004092,6757993.0,34782.0,7651162302.0,15.6438,0.1084,,,,,,,-1916.0,0.0,216.906607,27.11959771,22.87944202,16.14642605,0.7332662723523848
2001-10-01,Honduras,0.14,8.48,1.2402607760993682,6757993.0,34782.0,7651162302.0,15.7628,1.134,,,,,,,-1916.0,86321.0,287.3704273,27.49968948,22.27020751,16.15244538,0.6745611206507655
2001-11-01,Honduras,0.5,8.89,0.6305153250054573,6757993.0,34782.0,7651162302.0,15.851,-0.3704,,,,,,,-1916.0,0.0,106.9753793,27.42260732,20.96104403,14.90322255,0.7432262586633576
2001-12-01,Honduras,0.34,8.04,0.855504539051793,6757993.0,34782.0,7651162302.0,15.9197,0.2994,,,,,,,-1916.0,0.0,86.30540965,29.09191692,21.390639,15.08112748,0.6837753003289468
2002-01-01,Honduras,0.33,6.05,1.1547752554275434,6938859.0,34996.0,7858255413.0,16.0256,-0.8312,,,,,,,-1891.0,224530.0,80.99304213,29.45774012,20.90237364,14.77335356,0.703510256408672
2002-02-01,Honduras,1.05,5.58,1.2016885667487065,6938859.0,34996.0,7858255413.0,16.109,0.346,,,,,,,-1891.0,0.0,56.34781828,30.47680467,21.54660968,15.12433536,0.6789458047964889
2002-03-01,Honduras,0.6,5.1,0.6937354286092409,6938859.0,34996.0,7858255413.0,16.1912,0.1161,,,,,,,-1891.0,0.0,30.69265757,31.06376868,22.72039555,16.05804319,0.6408851175045854
2002-04-01,Honduras,0.74,4.82,0.5500748107910721,6938859.0,34996.0,7858255413.0,16.2656,-1.1774,,,,,,,-1891.0,0.0,22.20852012,31.35295912,23.78779503,16.96874146,0.6025436276248181
2002-05-01,Honduras,0.49,3.45,1.1070910591891836,6938859.0,34996.0,7858255413.0,16.3405,0.3107,,,,,,,-1891.0,969.0,178.5058357,29.84306839,23.95445423,17.54364435,0.6216146868251058
2002-06-01,Honduras,1.13,4.38,0.9505200798291416,6938859.0,34996.0,7858255413.0,16.4279,0.692,,,,,,,-1891.0,0.0,219.4882479,27.80430904,23.48444665,17.13374969,0.6881570737170308
2002-07-01,Honduras,0.81,4.34,0.8875522342494498,6938859.0,34996.0,7858255413.0,16.5003,-0.4333,,,,,,,-1891.0,0.0,201.2458979,29.71583207,23.10080203,16.76173576,0.7060180950937258
2002-08-01,Honduras,0.63,3.91,0.6763961249219826,6938859.0,34996.0,7858255413.0,16.5813,-1.1266,,,,,,,-1891.0,0.0,150.2124494,30.06959405,23.37754032,16.72919639,0.7080154555170872
2002-09-01,Honduras,0.16,2.63,0.8089634267647576,6938859.0,34996.0,7858255413.0,16.6731,-0.8416,,,,,,,-1891.0,1720.0,188.7181179,28.03367144,23.58491183,16.68573036,0.7459853146247571
2002-10-01,Honduras,0.55,2.64,0.7828254022743115,6938859.0,34996.0,7858255413.0,16.7779,-1.0465,,,,,,,-1891.0,0.0,181.0094884,27.64706627,22.51375755,16.3109135,0.7435513048657041
2002-11-01,Honduras,0.63,1.96,0.7461724686114338,6938859.0,34996.0,7858255413.0,16.8405,-0.9678,,,,,,,-1891.0,0.0,110.8706102,27.97659571,21.71839114,15.35391504,0.7388527949992023
2002-12-01,Honduras,0.7,2.3,0.8338869545416555,6938859.0,34996.0,7858255413.0,16.9233,0.4704,,,,,,,-1891.0,0.0,88.35882694,29.12884069,21.65980822,15.20284943,0.7364522031546752
2003-01-01,Honduras,0.85,3.08,1.1058251712383569,7119213.0,35373.0,8230391347.0,16.9972,-0.6817,,,,,,,-1785.0,0.0,94.2346417,29.36439556,20.12395769,13.92444365,0.6631054958134623
2003-02-01,Honduras,1.3,3.48,0.7703896681636395,7119213.0,35373.0,8230391347.0,17.0626,-0.8475,,,,,,,-1785.0,0.0,36.10266796,30.13459769,22.18621521,15.80722546,0.6830458132639698
2003-03-01,Honduras,0.38,3.43,1.3651848429278557,7119213.0,35373.0,8230391347.0,17.1423,-0.2656,,,,,,,-1785.0,0.0,46.55695844,29.76331012,24.198893,17.41929236,0.6518756885649257
2003-04-01,Honduras,0.53,3.58,0.72431204730307,7119213.0,35373.0,8230391347.0,17.2084,-0.2474,,,,,,,-1785.0,0.0,29.12584491,30.20711647,24.06253804,17.65695913,0.6488468792322881
2003-05-01,Honduras,0.15,3.75,1.06645942844053,7119213.0,35373.0,8230391347.0,17.2535,-0.0602,,,,,,,-1785.0,0.0,171.6897969,29.90925328,25.02011466,18.22122825,0.605777087159475
2003-06-01,Honduras,0.3,2.86,0.8520669496214078,7119213.0,35373.0,8230391347.0,17.3392,-0.5599,,,,,,,-1785.0,0.0,203.0538305,28.37289859,23.40690226,16.96493147,0.6864769593153813
2003-07-01,Honduras,0.37,2.41,0.8770735056120599,7119213.0,35373.0,8230391347.0,17.4176,-0.3843,,,,,,,-1785.0,0.0,188.8908386,29.02915941,23.09823281,16.61856738,0.6774818720689786
2003-08-01,Honduras,0.89,2.57,0.802323609380574,7119213.0,35373.0,8230391347.0,17.4843,-0.6559,,,,,,,-1785.0,0.0,179.267983,29.00246779,23.53905672,16.63596808,0.7250994999412006
