Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001/1/1,Kuwait,1.5,0.74,0.9978541647027994,2008121.0,4067.0,34889559870.0,0.305668,-0.1114,,,,,,,495.0,0.0,19.55176485,13.21923931,11.0120218,9.477860367,0.1043898934958025
2001/2/1,Kuwait,1.2,0.73,0.7602058059667167,2008121.0,4067.0,34889559870.0,0.306286,-0.835,,,,,,,495.0,0.0,11.05311108,15.67266147,14.43983809,13.27188719,0.1068655037157363
2001/3/1,Kuwait,1.3,0.72,0.8368799540037163,2008121.0,4067.0,34889559870.0,0.307488,-1.4182,,,,,,,495.0,0.0,10.72371707,21.91408497,21.25603679,20.55136288,0.0995083032630769
2001/4/1,Kuwait,1.2,0.71,0.5891674819744034,2008121.0,4067.0,34889559870.0,0.307363,-1.9881,,,,,,,495.0,0.0,5.552243181,28.33398662,27.32924357,26.12081117,0.086865314935471
2001/5/1,Kuwait,1.1,0.69,1.5534965390069069,2008121.0,4067.0,34889559870.0,0.307602,-1.8392,,,,,,,495.0,0.0,2.686713009,33.71521056,32.62617712,31.42221031,0.0835999898584571
2001/6/1,Kuwait,2.0,0.68,0.0,2008121.0,4067.0,34889559870.0,0.307977,-1.2767,,,,,,,495.0,0.0,0.0,37.38192283,36.05546116,34.33663745,0.0825509098152881
2001/7/1,Kuwait,1.9,0.67,0.0,2008121.0,4067.0,34889559870.0,0.307531,-1.0579,,,,,,,495.0,0.0,0.0,38.90274202,37.58170623,36.23369696,0.0842454720369666
2001/8/1,Kuwait,1.8,0.65,0.0,2008121.0,4067.0,34889559870.0,0.305756,-1.0794,,,,,,,495.0,0.0,0.0,39.44404849,38.30631222,36.22593378,0.0853107927477564
2001/9/1,Kuwait,1.8,0.64,0.0,2008121.0,4067.0,34889559870.0,0.305012,-0.9173,,,,,,,495.0,0.0,0.0,34.92962646,34.10618162,33.25501709,0.0856026665796719
2001/10/1,Kuwait,2.1,0.63,0.9189061770058972,2008121.0,4067.0,34889559870.0,0.305297,-0.6283,,,,,,,495.0,0.0,0.535046551,29.38600658,28.25314075,27.13602233,0.0846883480150242
2001/11/1,Kuwait,2.8,0.61,0.685462616468839,2008121.0,4067.0,34889559870.0,0.30671,-1.2133,,,,,,,495.0,0.0,12.14187941,21.78808583,19.36816772,17.92493208,0.0834841143318358
2001/12/1,Kuwait,2.6,0.6,2.6953720435013286,2008121.0,4067.0,34889559870.0,0.30749,2.0132,,,,,,,495.0,0.0,61.51514403,18.15637267,15.84377044,15.07235155,0.088374171771142
2002/1/1,Kuwait,0.9,0.61,0.7512290354246167,2059974.0,4187.0,38135788414.0,0.30749362,-0.0904,,,,,,,887.0,0.0,14.92317771,13.66670349,11.31119123,10.14511148,0.0986405339891511
2002/2/1,Kuwait,1.1,0.62,1.155940731986548,2059974.0,4187.0,38135788414.0,0.3076923,-0.5747,,,,,,,887.0,0.0,16.6071913,16.02968727,14.54890278,13.72534564,0.1122394808069616
2002/3/1,Kuwait,0.8,0.63,1.1215245604730577,2059974.0,4187.0,38135788414.0,0.3072951,-1.075,,,,,,,887.0,0.0,14.37090474,21.63332251,20.71605544,19.87493247,0.1046027418194852
2002/4/1,Kuwait,0.6,0.63,1.851339621778996,2059974.0,4187.0,38135788414.0,0.3067014,1.0019,,,,,,,887.0,0.0,17.24332752,25.90583998,24.98847529,24.13370999,0.088427560323387
2002/5/1,Kuwait,0.9,0.64,0.0,2059974.0,4187.0,38135788414.0,0.3051199,-1.74,,,,,,,887.0,0.0,0.0,33.37237839,32.32175673,30.95640739,0.0845928737833718
2002/6/1,Kuwait,0.0,0.65,0.0,2059974.0,4187.0,38135788414.0,0.3035504,-0.7328,,,,,,,887.0,0.0,0.0,37.05417883,35.94740676,34.55803897,0.085233991456371
2002/7/1,Kuwait,0.3,0.66,0.0,2059974.0,4187.0,38135788414.0,0.3011686,-1.5912,,,,,,,887.0,0.0,0.0,39.79887139,38.61977932,37.10629694,0.0855599746779301
2002/8/1,Kuwait,0.3,0.67,0.0,2059974.0,4187.0,38135788414.0,0.3018304,-0.8761,,,,,,,887.0,0.0,0.0,38.86297233,37.60219028,35.89958555,0.0854524975613396
2002/9/1,Kuwait,0.6,0.67,0.0,2059974.0,4187.0,38135788414.0,0.3019063,-2.0614,,,,,,,887.0,0.0,0.0,35.25987044,34.18235074,32.95718218,0.087716810444365
2002/10/1,Kuwait,0.6,0.68,2.048982658895142,2059974.0,4187.0,38135788414.0,0.302264,-1.4026,,,,,,,887.0,0.0,1.325343579,29.59920683,28.94734921,28.2530968,0.0847932305031124
