Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Malaysia,0.3,0.6,1.5514305895083085,23526538.0,102546.0,92783947368.0,3.8,1.2197,,,,,,,50305.0,0.0,399.2425633,26.27182931,23.76682367,17.17471909,0.6515063389045752
2001-2-1,Malaysia,0.2,0.8,1.2618759261201429,23526538.0,102546.0,92783947368.0,3.8,0.3295,,,,,,,50305.0,0.0,274.1664535,27.34613791,23.95891753,16.86488733,0.6552925502088093
2001-3-1,Malaysia,-0.2,0.7,1.6127077448745235,23526538.0,102546.0,92783947368.0,3.8,0.6472,,,,,,,50305.0,0.0,377.8586193,26.94851142,24.43641141,17.02930884,0.738200745241453
2001-4-1,Malaysia,0.1,0.7,1.1926537510232855,23526538.0,102546.0,92783947368.0,3.8,0.6602,,,,,,,50305.0,0.0,285.2176525,27.49495396,24.72406334,17.75616002,0.7343399911553234
2001-5-1,Malaysia,0.1,0.9,0.8238052497889822,23526538.0,102546.0,92783947368.0,3.8,-1.4687,,,,,,,50305.0,0.0,212.6961891,27.95287752,25.21675006,17.7881141,0.7821470501468433
2001-6-1,Malaysia,-0.1,0.5,0.9276667434897456,23526538.0,102546.0,92783947368.0,3.8,-0.363,,,,,,,50305.0,0.0,178.7490335,27.70564516,24.79614518,17.28709318,0.7392012045281712
2001-7-1,Malaysia,0.0,0.4,0.8754225718823656,23526538.0,102546.0,92783947368.0,3.8,-0.8173,,,,,,,50305.0,0.0,178.0239048,27.93089958,25.06675821,17.27362314,0.7868556701517868
2001-8-1,Malaysia,-0.1,0.4,0.8835609910664782,23526538.0,102546.0,92783947368.0,3.8,-0.812,,,,,,,50305.0,10000.0,203.7811445,27.89494997,25.19053457,17.2883629,0.7585554641746484
2001-9-1,Malaysia,0.1,1.01,0.9709347396548228,23526538.0,102546.0,92783947368.0,3.8,0.1122,,,,,,,50305.0,0.0,253.8779533,27.44790717,24.55710771,17.57966173,0.7103616198511017
2001-10-1,Malaysia,-0.1,0.6,1.1143692588968763,23526538.0,102546.0,92783947368.0,3.8,0.4876,,,,,,,50305.0,5200.0,343.0863171,27.03148289,24.47816859,17.29266348,0.705274554449373
2001-11-1,Malaysia,0.79,1.31,0.9397010143839214,23526538.0,102546.0,92783947368.0,3.8,-0.3859,,,,,,,50305.0,0.0,308.6464421,26.6423393,24.04438677,16.97898752,0.6241302975186529
2001-12-1,Malaysia,0.1,0.3,0.9045258470901656,23526538.0,102546.0,92783947368.0,3.8,-0.7737,,,,,,,50305.0,18000.0,353.8708673,26.53363819,23.89873886,16.70777871,0.7130307127956951
2002-1-1,Malaysia,0.2,0.3,0.6944550435339258,24102477.0,103125.0,100846000000.0,3.8,-0.7714,,,,,,,51591.0,0.0,220.5774421,27.68516367,23.86829258,17.01800347,0.6490922894400522
2002-2-1,Malaysia,0.29,0.89,0.6030891029158283,24102477.0,103125.0,100846000000.0,3.8,-1.1338,,,,,,,51591.0,0.0,142.3162274,29.06470983,24.44745356,16.94574359,0.6732535248295748
2002-3-1,Malaysia,0.68,0.6,0.8221111844448554,24102477.0,103125.0,100846000000.0,3.8,-0.349,,,,,,,51591.0,155.0,225.3153291,28.74072601,25.16771787,17.99640162,0.7268073174226685
2002-4-1,Malaysia,-0.1,0.4,1.0382543516705902,24102477.0,103125.0,100846000000.0,3.8,0.1329,,,,,,,51591.0,0.0,253.7476673,28.51596368,25.36314291,18.51989706,0.7308343353882883
2002-5-1,Malaysia,0.1,0.0,0.8667072660723062,24102477.0,103125.0,100846000000.0,3.8,-0.5831,,,,,,,51591.0,0.0,225.0422239,28.59154579,25.60161945,18.43014259,0.7888997639785118
2002-6-1,Malaysia,0.1,0.8,0.9047305508522444,24102477.0,103125.0,100846000000.0,3.8,-0.2838,,,,,,,51591.0,0.0,181.3808004,28.23493784,25.28536656,17.49487979,0.7715404592677999
2002-7-1,Malaysia,0.0,0.8,0.8373453183385157,24102477.0,103125.0,100846000000.0,3.8,-0.6486,,,,,,,51591.0,0.0,166.9833449,28.73687279,25.79338702,18.00397314,0.800605065904481
2002-8-1,Malaysia,-0.1,1.0,0.9270244080511388,24102477.0,103125.0,100846000000.0,3.8,0.1071,,,,,,,51591.0,0.0,214.7864533,28.46890311,25.32965952,17.16963133,0.7618842709906479
2002-9-1,Malaysia,0.1,0.6,1.069022853333878,24102477.0,103125.0,100846000000.0,3.8,0.0536,,,,,,,51591.0,0.0,271.681823,28.21849675,25.02706327,17.55163205,0.7223561178511355
2002-10-1,Malaysia,-0.1,0.9,0.840628163601079,24102477.0,103125.0,100846000000.0,3.8,-0.9929,,,,,,,51591.0,0.0,265.9482743,28.12545589,24.7220593,17.45582278,0.7338916739589066
2002-11-1,Malaysia,0.29,0.89,0.968051800972064,24102477.0,103125.0,100846000000.0,3.8,0.3239,,,,,,,51591.0,0.0,317.6139902,27.01910059,24.49393226,17.70725163,0.6972640018987191
2002-12-1,Malaysia,0.19,1.29,0.8622857281884783,24102477.0,103125.0,100846000000.0,3.8,-0.5897,,,,,,,51591.0,0.0,326.9204935,27.62911633,24.73925056,17.90044845,0.6901768657024143
