Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Maldives,-1.78,-2.37,1.002620727075648,1204.0,870031676.8,870031676.8,11.77,,,,,,,,0.0,122.8136897,28.31,26.96,25.02,0.3854989085806924
2001-2-1,Maldives,2.19,5.37,1.2934374056903877,1204.0,870031676.8,870031676.8,11.77,,,,,,,,0.0,44.18288347,28.54,26.73,25.61,0.4847344111922791
2001-3-1,Maldives,-0.67,2.58,0.4062422159532143,1204.0,870031676.8,870031676.8,11.77,,,,,,,,0.0,3.337477035,28.97,28.16,27.04,0.3651964223570886
2001-4-1,Maldives,2.12,-7.61,2.4825396203021874,1204.0,870031676.8,870031676.8,11.77,,,,,,,,0.0,47.3632182,29.16,27.94,26.52,0.3987491983399884
2001-5-1,Maldives,2.75,-7.86,0.9579749061272096,1204.0,870031676.8,870031676.8,11.77,,,,,,,,0.0,289.7533896,29.3,28.23,27.14,0.4181106414819873
2001-6-1,Maldives,3.51,-4.44,0.9371488393198238,1204.0,870031676.8,870031676.8,11.77,,,,,,,,0.0,254.3916423,29.22,28.12,26.98,0.425754728118545
2001-7-1,Maldives,-5.7,-3.59,1.2680592396122212,1204.0,870031676.8,870031676.8,12.285,,,,,,,,0.0,32.43157255,28.94,27.51,25.78,0.3580911081065384
2001-8-1,Maldives,0.06,-3.49,1.1488233481477488,1204.0,870031676.8,870031676.8,12.8,,,,,,,,0.0,35.87997935,28.74,27.59,26.44,0.4856688182634671
2001-9-1,Maldives,2.38,8.29,1.4912783390447557,1204.0,870031676.8,870031676.8,12.8,,,,,,,,0.0,134.973435,28.78,27.05,25.6,0.4211658123420366
2001-10-1,Maldives,-0.08,6.02,1.0795147467093578,1204.0,870031676.8,870031676.8,12.8,,,,,,,,0.0,112.0902372,28.67,27.33,26.04,0.470969901506373
2001-11-1,Maldives,0.47,20.89,0.615516590946229,1204.0,870031676.8,870031676.8,12.8,,,,,,,,0.0,72.24401445,28.12,27.1,25.71,0.4657284653104971
2001-12-1,Maldives,1.79,18.07,1.1572512772995969,1204.0,870031676.8,870031676.8,12.8,,,,,,,,0.0,29.48356699,28.21,27.16,25.53,0.4985264268345146
2002-1-1,Maldives,2.21,29.57,0.9495382994133484,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,41.51381972,28.62,27.5,26.33,0.4464932252340317
2002-2-1,Maldives,-0.59,19.09,1.8164427393620888,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,44.07896027,28.56,27.74,26.57,0.438295456449102
2002-3-1,Maldives,-0.79,15.62,1.2331777982746297,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,11.01201154,29.39,27.88,26.32,0.3935488802212826
2002-4-1,Maldives,-2.23,5.88,0.6002170403181952,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,15.06512925,29.08,27.9,26.69,0.3938958109665994
2002-5-1,Maldives,2.83,1.6,0.4841102623876434,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,127.0960217,29.53,28.48,26.72,0.4066602925902137
2002-6-1,Maldives,0.16,-6.29,1.473932578245701,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,336.3012418,29.79,28.51,27.23,0.3762354780625565
2002-7-1,Maldives,-0.11,1.96,0.9083754515436998,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,7.079932942,29.4,28.01,26.96,0.3558174185743459
2002-8-1,Maldives,-0.77,1.76,0.7310112632502141,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,48.98520065,28.75,27.77,26.26,0.4680646929572221
2002-9-1,Maldives,-1.98,-8.26,0.5065099730986047,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,26.62552021,28.59,27.64,26.05,0.3829334170455537
2002-10-1,Maldives,1.55,-3.21,1.1361526897834378,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,97.79898982,28.37,27.29,26.13,0.4181280053280054
2002-11-1,Maldives,-0.13,3.33,0.942238372848738,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,113.8446429,28.41,27.02,24.99,0.3307039557799519
2002-12-1,Maldives,0.04,-10.07,0.5969637230981689,1187.0,897031250.0,897031250.0,12.8,,,,,,,,0.0,40.63415165,28.57,27.44,26.19,0.4546266056201182
2003-1-1,Maldives,-0.59,-14.75,0.8087027382865886,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,38.44579886,28.13,27.38,26.16,0.45791301358442
2003-2-1,Maldives,-0.74,-17.53,1.69490218031655,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,79.95300199,28.63,27.75,26.51,0.4141791709400546
2003-3-1,Maldives,0.49,-10.04,1.7819190354831955,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,17.31485496,29.32,28.01,27.07,0.4160941419358345
2003-4-1,Maldives,-0.83,-6.7,1.843628716182871,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,34.73885696,29.48,28.56,27.42,0.4087090506219037
2003-5-1,Maldives,2.05,-4.21,0.6374834719328535,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,137.4351031,29.91,28.82,27.45,0.4124760429923007
2003-6-1,Maldives,-0.33,-4.33,0.7519214666915897,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,253.7553853,29.04,27.9,26.68,0.3994923918740768
2003-7-1,Maldives,0.29,0.68,0.5454477074329923,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,17.85097204,28.79,27.65,26.2,0.426175205595513
2003-8-1,Maldives,-0.31,-0.84,0.3496607704109282,1151.0,1052121055.0,1052121055.0,12.8,,,,,,,,0.0,15.66779133,28.95,27.7,26.56,0.4608006942807208
