Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Mauritius,0.56,2.03,0.828559603983842,1196287.0,7868.0,4675755867.0,27.9705,-0.4155,,,,,,,-37.0,0.0,240.8096892,26.44950593,25.46823208,24.64230352,0.5673273549432236
2001-2-1,Mauritius,0.48,3.06,0.6528459579261887,1196287.0,7868.0,4675755867.0,28.224,-1.3167,,,,,,,-37.0,0.0,228.8336611,26.71712994,25.45166073,24.53068788,0.6661567268534991
2001-3-1,Mauritius,-0.16,2.2,0.7545843942208915,1196287.0,7868.0,4675755867.0,28.335,-1.6937,,,,,,,-37.0,0.0,208.8969272,26.70515047,25.52167189,24.58872952,0.7206015718403753
2001-4-1,Mauritius,0.16,2.97,1.3476510649584896,1196287.0,7868.0,4675755867.0,28.4642,0.091,,,,,,,-37.0,0.0,318.9873915,25.63399476,24.40958323,23.4845807,0.7760830166711374
2001-5-1,Mauritius,0.24,2.88,0.6099946292362294,1196287.0,7868.0,4675755867.0,28.8315,-1.1141,,,,,,,-37.0,0.0,98.17191483,24.45910442,23.16657568,22.15277357,0.7405971126455733
2001-6-1,Mauritius,0.79,4.49,0.6419531853559588,1196287.0,7868.0,4675755867.0,29.237,-0.9245,,,,,,,-37.0,0.0,78.32593353,21.96934145,20.58820057,19.3271214,0.6491067223439771
2001-7-1,Mauritius,1.49,5.08,0.8947746189435875,1196287.0,7868.0,4675755867.0,29.3765,-0.5854,,,,,,,-37.0,0.0,122.019414,21.40068652,20.10007919,18.91096143,0.6524656902864769
2001-8-1,Mauritius,0.15,5.07,0.8421529153879334,1196287.0,7868.0,4675755867.0,29.6365,-2.2265,,,,,,,-37.0,0.0,85.08767295,21.87003713,20.57621038,19.47129511,0.5810993823232935
2001-9-1,Mauritius,0.15,4.79,0.9438028022168988,1196287.0,7868.0,4675755867.0,29.7627,-1.1614,,,,,,,-37.0,0.0,94.15816767,22.46280518,21.27206619,20.27836236,0.5361335393443263
2001-10-1,Mauritius,0.31,4.86,1.3626957542634883,1196287.0,7868.0,4675755867.0,30.2507,0.8268,,,,,,,-37.0,0.0,92.18757227,23.04133777,21.81922342,20.79984331,0.5157830405054527
2001-11-1,Mauritius,0.46,5.43,0.5783589183672755,1196287.0,7868.0,4675755867.0,30.3422,-1.2433,,,,,,,-37.0,0.0,45.91066248,24.50146745,23.19200427,22.21170779,0.5416420587820076
2001-12-1,Mauritius,0.53,5.47,1.3105459209799797,1196287.0,7868.0,4675755867.0,30.3942,-0.0567,,,,,,,-37.0,0.0,219.6683126,26.00186841,25.08111489,24.22765124,0.4903225053919225
2002-1-1,Mauritius,1.29,6.87,1.6394902992554756,1204621.0,8085.0,4906494249.0,30.3915,1.0994,,,,,,,-57.0,50000.0,483.2408603,26.00762356,25.02239217,24.2082179,0.6626458634609772
2002-2-1,Mauritius,0.9,8.33,0.4999108368334948,1204621.0,8085.0,4906494249.0,30.3888,-2.5301,,,,,,,-57.0,0.0,171.4782324,26.91346762,25.74237966,24.83634243,0.6790871453854321
2002-3-1,Mauritius,0.52,10.26,1.0526407433993823,1204621.0,8085.0,4906494249.0,30.374,0.1126,,,,,,,-57.0,0.0,303.3165144,26.48747605,25.35388671,24.44365937,0.6522111242110795
2002-4-1,Mauritius,0.22,10.4,0.665640259620752,1204621.0,8085.0,4906494249.0,30.2867,-0.7452,,,,,,,-57.0,0.0,154.7918555,25.4807803,24.28181664,23.36291192,0.7239516857576763
2002-5-1,Mauritius,0.15,10.28,1.0798133769666496,1204621.0,8085.0,4906494249.0,30.2137,0.2326,,,,,,,-57.0,0.0,174.7701614,24.09973894,22.923296,21.91013618,0.7598071538060678
2002-6-1,Mauritius,0.0,8.51,0.9965024094456384,1204621.0,8085.0,4906494249.0,29.9597,-0.6424,,,,,,,-57.0,0.0,121.7492624,21.99106034,20.7260237,19.54963782,0.720427049057436
2002-7-1,Mauritius,0.79,7.32,1.1041239566051786,1204621.0,8085.0,4906494249.0,29.7812,0.9933,,,,,,,-57.0,0.0,149.8817355,21.95768355,20.75006551,19.69183016,0.6871301053789021
2002-8-1,Mauritius,0.48,6.97,1.2452316372427576,1204621.0,8085.0,4906494249.0,29.6757,2.2412,,,,,,,-57.0,0.0,125.5033173,21.57237411,20.22166109,19.05711925,0.585074627115726
2002-9-1,Mauritius,0.39,7.42,0.7019021514837129,1204621.0,8085.0,4906494249.0,29.641,-0.9762,,,,,,,-57.0,0.0,68.32042372,22.12002669,20.84454915,19.77339041,0.5366389042824771
2002-10-1,Mauritius,0.96,6.91,0.8784907405900749,1204621.0,8085.0,4906494249.0,29.61,-0.4711,,,,,,,-57.0,0.0,60.89083879,23.22385506,21.94945587,20.97172867,0.4765801392299078
2002-11-1,Mauritius,-0.1,5.77,0.7654903864706749,1204621.0,8085.0,4906494249.0,29.4425,-0.5838,,,,,,,-57.0,0.0,60.20696309,25.2505242,24.16967031,23.3765089,0.4873809240443133
2002-12-1,Mauritius,-0.1,4.54,1.720700734502178,1204621.0,8085.0,4906494249.0,29.1968,0.315,,,,,,,-57.0,0.0,284.0008036,26.31686572,25.25114914,24.42067274,0.5121804811249322
2003-1-1,Mauritius,0.67,3.7,0.5170494723698149,1213370.0,8171.0,5894873920.0,27.9428,-1.3323,,,,,,,-73.0,0.0,149.1480326,27.1345936,26.08683513,25.24237775,0.6212146848316463
2003-2-1,Mauritius,0.19,2.26,1.2711343861884183,1213370.0,8171.0,5894873920.0,27.552,0.3343,,,,,,,-73.0,0.0,442.1584669,26.66589129,25.577975,24.70633435,0.6610671315617761
2003-3-1,Mauritius,-0.09,0.78,0.5810890476697184,1213370.0,8171.0,5894873920.0,27.0655,-0.4046,,,,,,,-73.0,0.0,161.2027113,26.72217111,25.48318871,24.54685714,0.6850165728581002
2003-4-1,Mauritius,0.19,0.42,2.0245483367928774,1213370.0,8171.0,5894873920.0,26.928,2.3438,,,,,,,-73.0,0.0,482.7418532,25.91702858,24.93566064,24.08907176,0.6668823124902143
