Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001/1/1,Nicaragua,9.69,7.98,1.23829962400997,5087825.0,30440.0,5351752034.2221,13.1221,0.1863,,,,,,,-17233.0,0.0,105.38650700552286,28.53684526669082,23.11241452510956,18.30981811195295,0.6671164942238925
2001/2/1,Nicaragua,8.69,8.02,1.3450855743510028,5087825.0,30440.0,5351752034.2221,13.1809,-0.4435,,,,,,,-17233.0,0.0,68.4341251145372,29.75739860988801,23.7401213904592,18.641306836264505,0.6266353307164736
2001/3/1,Nicaragua,7.66,7.25,0.6103511065643902,5087825.0,30440.0,5351752034.2221,13.2463,-0.7807,,,,,,,-17233.0,0.0,21.203297308486167,29.64438307977497,24.68855555418241,20.382533071374382,0.5934603794069947
2001/4/1,Nicaragua,7.76,7.81,0.5631706786475308,5087825.0,30440.0,5351752034.2221,13.3099,-0.3345,,,,,,,-17233.0,0.0,25.94428640543787,31.61994582282176,25.99275093971295,21.254958301120386,0.5528514710217423
2001/5/1,Nicaragua,7.71,8.07,0.8781881450766154,5087825.0,30440.0,5351752034.2221,13.3759,-0.2173,,,,,,,-17233.0,0.0,169.24260792938676,29.572152033159853,26.17357033862811,21.94029246914772,0.5171063367541383
2001/6/1,Nicaragua,7.68,8.15,0.7280790869836432,5087825.0,30440.0,5351752034.2221,13.4401,-1.8463,,,,,,,-17233.0,0.0,246.46043938121645,28.71312671237524,25.186949605893915,20.571663496229405,0.5263195915779706
2001/7/1,Nicaragua,7.59,7.79,0.7727107119815,5087825.0,30440.0,5351752034.2221,13.5068,-0.6746,,,,,,,-17233.0,0.0,294.5101618557059,29.710941999702072,25.03918085782078,20.493837980044816,0.6475754728752514
2001/8/1,Nicaragua,7.69,7.83,1.015717860872266,5087825.0,30440.0,5351752034.2221,13.5738,-0.3588,,,,,,,-17233.0,188000.0,314.32139545308473,29.635685754591464,25.31422025530543,20.997958940075307,0.6320137205673146
2001/9/1,Nicaragua,7.31,7.01,1.0459455877491248,5087825.0,30440.0,5351752034.2221,13.639,-0.3262,,,,,,,-17233.0,0.0,274.6402109598929,26.988814290364587,24.474210546825304,20.072719997829893,0.7081302545609874
2001/10/1,Nicaragua,6.32,6.65,0.9942090264470128,5087825.0,30440.0,5351752034.2221,13.7067,0.4522,,,,,,,-17233.0,0.0,270.775654849844,27.24181922584455,24.397373134257805,20.05348704758512,0.6855482010568472
2001/11/1,Nicaragua,5.76,6.68,0.7077870224069104,5087825.0,30440.0,5351752034.2221,13.7725,0.2595,,,,,,,-17233.0,24866.0,145.63320651017025,27.39898806677928,23.873396170208537,19.021196725633445,0.7404092447200796
2001/12/1,Nicaragua,4.65,9.9,1.073135378436333,5087825.0,30440.0,5351752034.2221,13.8408,0.5031,,,,,,,-17233.0,0.0,176.6733623228458,29.091916923112763,24.105255023278403,19.499022727884267,0.637976888896916
2002/1/1,Nicaragua,4.17,5.16,1.0009115543287628,5149909.0,29526.0,5223727302.54906,13.9095,0.1668,,,,,,,-13646.0,0.0,131.0588119598231,29.45774011509394,23.87626446938333,19.17545842406571,0.6664001045993628
2002/2/1,Nicaragua,3.77,4.67,1.0947171035274623,5149909.0,29526.0,5223727302.54906,13.9718,-0.1208,,,,,,,-13646.0,0.0,59.60756392439253,30.476804669698083,24.18972513664312,19.53372140611924,0.6249037128100206
2002/3/1,Nicaragua,4.04,5.0,0.8058808811525979,5149909.0,29526.0,5223727302.54906,14.0411,-0.5851,,,,,,,-13646.0,0.0,36.44663212346474,31.063768682172224,25.15491037681977,20.301942300283827,0.5817746627694489
