Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Nigeria,17.63,12.72,0.4025704956195324,129862595.0,2227031.0,73557840064.489,110.3,-0.7347,,,,,,,-2872.0,0.0,2.1672848237521145,29.4389396257298,24.48566630965217,18.700537618001302,0.3310533917751311
2001-2-1,Nigeria,18.59,13.87,1.084146207050758,129862595.0,2227031.0,73557840064.489,113.7,0.4563,,,,,,,-2872.0,0.0,4.446640245920123,30.59539386658446,26.23810542954635,20.13375010263354,0.2987764680713378
2001-3-1,Nigeria,18.2,16.74,0.6410784563418132,129862595.0,2227031.0,73557840064.489,110.2,-0.8224,,,,,,,-2872.0,0.0,26.066434147938047,32.82397082339054,28.996191449448304,21.054140304237308,0.3226445397496904
2001-4-1,Nigeria,23.22,27.15,1.212243688980689,129862595.0,2227031.0,73557840064.489,113.7,-0.0909,,,,,,,-2872.0,0.0,74.84309783987882,34.223236295912045,29.61250934383628,19.641327116224545,0.3782423566061025
2001-5-1,Nigeria,22.96,30.79,1.111698530159774,129862595.0,2227031.0,73557840064.489,112.6,-0.1468,,,,,,,-2872.0,0.0,135.93041251237565,34.605552045760646,29.04814736852171,18.753286000733738,0.4506747491910085
2001-6-1,Nigeria,16.07,31.36,1.066058458294984,129862595.0,2227031.0,73557840064.489,111.5,-0.1632,,,,,,,-2872.0,0.0,171.67680072455687,33.265880076090525,27.04075467279733,17.640012020534982,0.4045615548738648
2001-7-1,Nigeria,19.01,33.81,0.897434158759163,129862595.0,2227031.0,73557840064.489,111.2,0.0022,,,,,,,-2872.0,0.0,194.3155430293976,30.34829604036065,25.28183997263204,17.05383356976256,0.4443486888991174
2001-8-1,Nigeria,18.7,34.47,0.785654995337038,129862595.0,2227031.0,73557840064.489,111.11,-0.1475,,,,,,,-2872.0,3000.0,194.6143040869682,29.055618130263497,24.45814010567841,17.098187854725836,0.4604115161098417
2001-9-1,Nigeria,19.11,39.72,1.0342940268693566,129862595.0,2227031.0,73557840064.489,110.11,0.1168,,,,,,,-2872.0,0.0,217.5805893337453,30.51868082682296,25.187191872169024,17.298626030815967,0.5590357432903947
2001-10-1,Nigeria,19.35,37.64,0.5254217922640677,129862595.0,2227031.0,73557840064.489,110.11,-0.1959,,,,,,,-2872.0,0.0,76.9655389351399,30.81889940897628,26.562826192060527,17.833222325642907,0.5556059672429231
2001-11-1,Nigeria,17.43,32.69,0.1877822917124738,129862595.0,2227031.0,73557840064.489,112.1,-0.3856,,,,,,,-2872.0,0.0,12.419103957435382,30.51133344438341,26.715419822654496,19.100151803758425,0.4615883476110259
2001-12-1,Nigeria,16.5,29.34,0.5562933993815847,129862595.0,2227031.0,73557840064.489,112.95,-1.0113,,,,,,,-2872.0,0.0,3.4248711112215955,30.682159698650423,26.395317410967323,19.9113237401491,0.3788861884832503
2002-1-1,Nigeria,18.55,29.16,0.2463941287438163,133471989.0,2242262.0,95054059302.6995,113.7,0.793,,,,,,,-24832.0,0.0,2.0688480451965248,29.797295096612743,24.287354849656083,17.790480160456866,0.3143216849391788
2002-2-1,Nigeria,17.98,28.55,1.2077200037189064,133471989.0,2242262.0,95054059302.6995,115.2,-0.0263,,,,,,,-24832.0,0.0,6.000808338915817,31.201367541721936,26.725386832903155,20.58389230455674,0.2957572578170381
2002-3-1,Nigeria,,26.01,1.2057030288053758,133471989.0,2242262.0,95054059302.6995,115.6,-0.1897,,,,,,,-24832.0,0.0,30.023687213703067,33.20041917780395,29.325159090762327,20.39948041772334,0.303704142031691
2002-4-1,Nigeria,12.76,15.71,1.1412071816962306,133471989.0,2242262.0,95054059302.6995,115.8,-0.5518,,,,,,,-24832.0,0.0,77.66883270106582,35.105780304802806,30.15612643822476,19.748854849073663,0.3858169546807318
2002-5-1,Nigeria,10.19,11.92,0.6992841484435582,133471989.0,2242262.0,95054059302.6995,116.3,-1.0603,,,,,,,-24832.0,0.0,104.53440823571307,35.02720292204174,29.899712888509725,19.124321012599523,0.4262184117708166
2002-6-1,Nigeria,12.22,11.09,1.0335436906170357,133471989.0,2242262.0,95054059302.6995,119.6,-0.5836,,,,,,,-24832.0,0.0,180.2796071450076,34.3375230153402,27.529251734866307,17.975451617770773,0.4880501730178425
2002-7-1,Nigeria,15.56,15.47,1.12697784012549,133471989.0,2242262.0,95054059302.6995,125.5,-0.1559,,,,,,,-24832.0,0.0,254.06144332458163,32.05563907008019,26.29949391768821,17.649774969777752,0.4950693156320637
2002-8-1,Nigeria,12.29,11.74,0.9734550879917958,133471989.0,2242262.0,95054059302.6995,125.5,-0.3744,,,,,,,-24832.0,0.0,239.1340277949272,28.982467351933963,24.96290064761177,17.201469368063044,0.5107641981142488
2002-9-1,Nigeria,9.96,6.96,1.0021027981003698,133471989.0,2242262.0,95054059302.6995,125.75,0.2149,,,,,,,-24832.0,0.0,205.69919225256072,31.48568153381348,25.65804944720464,17.550427627563522,0.5862384681230708
2002-10-1,Nigeria,5.36,1.84,1.5667885876626622,133471989.0,2242262.0,95054059302.6995,126.25,0.8045,,,,,,,-24832.0,0.0,135.25763814916556,30.93567986437074,25.883764405659065,17.584645023140865,0.576595969844824
2002-11-1,Nigeria,12.17,7.58,1.2843418844510837,133471989.0,2242262.0,95054059302.6995,126.41,-0.0992,,,,,,,-24832.0,0.0,14.171381240020546,29.55451454586455,26.19206708379903,17.975130865308984,0.4974357586804103
2002-12-1,Nigeria,12.17,9.64,0.7205895839541112,133471989.0,2242262.0,95054059302.6995,126.4,-0.7385,,,,,,,-24832.0,0.0,2.846670513242246,29.46897845934797,25.310413926126728,18.71157548555766,0.404313423407435
2003-1-1,Nigeria,10.59,8.68,0.8556499741188666,137202644.0,2245989.0,104738954264.226,126.77,-0.4509,,,,,,,-28768.0,0.0,6.661363790573898,30.41445751395281,25.76989211033549,19.47527478125789,0.3410721618853371
