Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Peru,3.86,4.61,1.1803308429787382,26964601.0,150792.0,52030158775.4055,3.533,0.6237,,,,,,,-8513.0,0.0,194.4662369771781,25.63380059683197,17.977226470655808,-0.558240944,0.4406803545352774
2001-2-1,Peru,3.61,4.47,1.006456591401755,26964601.0,150792.0,52030158775.4055,3.528,0.0687,,,,,,,-8513.0,0.0,173.3553666982359,27.02819706598921,18.388792955463543,-0.185205092,0.484076264213819
2001-3-1,Peru,3.58,4.58,1.218085864299569,26964601.0,150792.0,52030158775.4055,3.524,0.8702,,,,,,,-8513.0,46000.0,218.43577973776885,26.478821608840803,18.38967257278449,0.1860418709375721,0.5145505201509486
2001-4-1,Peru,2.62,3.09,0.9947711810834664,26964601.0,150792.0,52030158775.4055,3.587,0.1524,,,,,,,-8513.0,310.0,137.70822126776577,25.71459371778701,18.29772837503208,-0.237606261,0.5990684648360087
2001-5-1,Peru,2.63,3.05,1.0395314349699445,26964601.0,150792.0,52030158775.4055,3.622,0.3218,,,,,,,-8513.0,0.0,109.29975378156936,25.327798769550952,17.6479048939064,-1.724783346,0.5659764155971545
2001-6-1,Peru,2.51,2.69,0.8648840484867857,26964601.0,150792.0,52030158775.4055,3.513,-0.1933,,,,,,,-8513.0,349978.0,71.36229109989009,24.076378122965536,16.440662316028693,-2.953431447,0.4811914740429964
2001-7-1,Peru,2.16,2.57,1.365409204838644,26964601.0,150792.0,52030158775.4055,3.487,0.4405,,,,,,,-8513.0,0.0,84.94144708729748,24.42210263898301,16.741205783161433,-3.092661306,0.5887883205904714
2001-8-1,Peru,1.37,1.77,0.7614175360002615,26964601.0,150792.0,52030158775.4055,3.482,-0.6072,,,,,,,-8513.0,3965.0,50.23332797020966,26.27773884598929,17.470372019235413,-2.90759539,0.592093186047963
2001-9-1,Peru,0.87,1.43,1.1668886639174725,26964601.0,150792.0,52030158775.4055,3.483,-0.572,,,,,,,-8513.0,0.0,100.9903637916809,26.29938015407987,17.889172419761223,-1.01565077,0.5770819187627843
2001-10-1,Peru,0.68,1.47,0.9722771894379476,26964601.0,150792.0,52030158775.4055,3.441,-0.1468,,,,,,,-8513.0,150.0,123.14106972700536,26.93251405531361,18.69819442988728,-0.18639818,0.5296315719193114
