Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Solomon Islands,,11.1,0.5926,449125,2713,409508552.979972,5.1031,0.0535,,,,,,,-56,0,78.9,30.19,26.48,24.37,0.732
2001-2-1,Solomon Islands,,10.57,1.3755,449125,2713,409508552.979972,5.111,0.0524,,,,,,,-56,0,404.4,30.13,26.28,24.07,0.5818
2001-3-1,Solomon Islands,,11.98,1.2407,449125,2713,409508552.979972,5.1399,0.006,,,,,,,-56,0,168.6,29.27,26.2,23.85,0.6835
2001-4-1,Solomon Islands,,11.03,1.0222,449125,2713,409508552.979972,5.2055,0.0614,,,,,,,-56,0,111.3,29.9,26.58,24.09,0.7097
2001-5-1,Solomon Islands,,10.36,1.57,449125,2713,409508552.979972,5.2356,0.0431,,,,,,,-56,0,132.6,29.17,26.3,24.2,0.7441
2001-6-1,Solomon Islands,,9.24,2.1381,449125,2713,409508552.979972,5.27148,0.0473,,,,,,,-56,0,193.5,28.98,25.69,23.36,0.6942
2001-7-1,Solomon Islands,,4.52,1.3861,449125,2713,409508552.979972,5.28821,0.0805,,,,,,,-56,0,48.6,28.01,25.21,23,0.6709
2001-8-1,Solomon Islands,,3.16,0.6435,449125,2713,409508552.979972,5.29101,0.0576,,,,,,,-56,0,34.8,29.15,25.42,20.84,0.6757
2001-9-1,Solomon Islands,,3.89,0.8236,449125,2713,409508552.979972,5.32481,0.0646,,,,,,,-56,0,96.6,29.81,26.14,23.08,0.5908
2001-10-1,Solomon Islands,,5.1,1.437,449125,2713,409508552.979972,5.39083557951482,0.0471,,,,,,,-56,0,167.4,30.78,26.53,23.91,0.604
2001-11-1,Solomon Islands,,5.79,0.8667,449125,2713,409508552.979972,5.4525627044711,-0.0192,,,,,,,-56,0,86.7,31.27,27.06,24.73,0.6418
2001-12-1,Solomon Islands,,6.34,0.9332,449125,2713,409508552.979972,5.52181115405853,0.0245,,,,,,,-56,0,246,31.04,27.03,24,0.6108
2002-1-1,Solomon Islands,,5.34,0.7598,457671,2752,346406738.885237,5.71102227298686,0.0549,,,,,,,-60,0,144.9,29.53,26.56,23.87,0.686
2002-2-1,Solomon Islands,,6.1,0.9979,457671,2752,346406738.885237,5.94530321046373,0.0478,,,,,,,-60,0,575.1,29.1,25.95,23.23,0.5444
2002-3-1,Solomon Islands,,6.45,1.3063,457671,2752,346406738.885237,5.97014925373134,0.0129,,,,,,,-60,0,219,29.37,26.11,23.79,0.7031
2002-4-1,Solomon Islands,,5.24,0.4725,457671,2752,346406738.885237,6.36942675159236,0.0578,,,,,,,-60,0,66.3,29.43,26.48,24.36,0.6303
2002-5-1,Solomon Islands,,6.18,0.51,457671,2752,346406738.885237,6.43086816720257,0.0431,,,,,,,-60,0,51.9,29.66,26.32,24.17,0.6734
2002-6-1,Solomon Islands,,10.63,1.6167,457671,2752,346406738.885237,6.7842605156038,0.0481,,,,,,,-60,0,109.2,29.03,26.05,24.22,0.6915
2002-7-1,Solomon Islands,,10.83,1.8026,457671,2752,346406738.885237,7.22992611015515,0.078,,,,,,,-60,0,173.4,28.14,25.15,22.22,0.6757
2002-8-1,Solomon Islands,,13.13,0.9558,457671,2752,346406738.885237,7.30994152046784,0.0183,,,,,,,-60,0,180.3,28.24,24.75,21.93,0.6764
2002-9-1,Solomon Islands,,17.14,1.5066,457671,2752,346406738.885237,7.22992611015515,-0.0067,,,,,,,-60,0,132.6,28.93,25.42,21.57,0.6549
2002-10-1,Solomon Islands,,18.1,1.9872,457671,2752,346406738.885237,7.43494423791822,0.0112,,,,,,,-60,0,280.5,28.61,25.79,23.68,0.658
2002-11-1,Solomon Islands,,18.27,1.2993,457671,2752,346406738.885237,7.11237553342816,0.0741,,,,,,,-60,0,203.7,30.23,26.06,23.86,0.6701
2002-12-1,Solomon Islands,,18,0.393,457671,2752,346406738.885237,7.45712155108128,-0.0948,,,,,,,-60,1110,58.2,30.95,26.76,22.96,0.6401
2003-1-1,Solomon Islands,,17.36,0.8548,466154,2789,417668983.408349,7.47384155455904,0.0246,,,,,,,-76,275,172.8,30.96,26.79,24.55,0.6201
2003-2-1,Solomon Islands,,15.37,0.2595,466154,2789,417668983.408349,7.47384155455904,0.0509,,,,,,,-76,0,65.1,31.32,27.27,24.73,0.6626
2003-3-1,Solomon Islands,,15.05,0.9783,466154,2789,417668983.408349,7.49625187406297,0.0045,,,,,,,-76,0,211.2,30.3,26.47,24.41,0.6687
2003-4-1,Solomon Islands,,17.61,0.4876,466154,2789,417668983.408349,7.5188,0.0614,,,,,,,-76,0,126.9,30.95,26.56,23.95,0.6904
2003-5-1,Solomon Islands,,17.06,0.387,466154,2789,417668983.408349,7.51649,0.0392,,,,,,,-76,0,68.1,30.06,26.68,23.96,0.6644
2003-6-1,Solomon Islands,,12.35,1.7985,466154,2789,417668983.408349,7.51315,0.0609,,,,,,,-76,150,203.7,29.29,26.02,23.53,0.6535
2003-7-1,Solomon Islands,,11.01,1.2596,466154,2789,417668983.408349,7.5188,0.0792,,,,,,,-76,0,143.4,28.73,25.72,23.42,0.7061
2003-8-1,Solomon Islands,,10.62,0.8072,466154,2789,417668983.408349,7.52445,-0.0178,,,,,,,-76,0,79.5,28.71,25.23,22.41,0.689
2003-9-1,Solomon Islands,,6.16,0.4576,466154,2789,417668983.408349,7.51315,-0.0032,,,,,,,-76,0,56.7,30.32,26.05,23.13,0.5203
2003-10-1,Solomon Islands,,5.07,0.5441,466154,2789,417668983.408349,7.51315,0.0295,,,,,,,-76,0,64.5,31.14,26.75,23.62,0.5077
2003-11-1,Solomon Islands,,4.45,1.6282,466154,2789,417668983.408349,7.51315,0.1266,,,,,,,-76,0,168.9,30.15,26.35,23.91,0.6158
2003-12-1,Solomon Islands,,4.14,0.67,466154,2789,417668983.408349,7.49625,0.0259,,,,,,,-76,0,97.8,29.85,26.68,24.06,0.5337
2004-1-1,Solomon Islands,,5.56,0.6914,474611,2831,468005318.551977,7.49625187406297,0.0533,,,,,,,-71,0,106.5,31.03,27.21,23.84,0.6394
2004-2-1,Solomon Islands,,8.55,0.9797,474611,2831,468005318.551977,7.49625187406297,0.0524,,,,,,,-71,0,245.7,31.4,26.92,24.83,0.604
2004-3-1,Solomon Islands,,8.15,0.9895,474611,2831,468005318.551977,7.4794315632012,-0.163,,,,,,,-71,0,209.1,30.38,26.6,24.71,0.6678
2004-4-1,Solomon Islands,,6.42,1.9175,474611,2831,468005318.551977,7.4794315632012,-0.0165,,,,,,,-71,0,216.6,29.76,26.32,24.2,0.7166
2004-5-1,Solomon Islands,,6.45,0.5107,474611,2831,468005318.551977,7.47384155455904,0.048,,,,,,,-71,0,69.3,29.38,26.34,24.01,0.6962
2004-6-1,Solomon Islands,,7.36,1.1194,474611,2831,468005318.551977,7.46268656716418,-0.0624,,,,,,,-71,0,123,28.82,25.57,23.58,0.6693
2004-7-1,Solomon Islands,,8.25,0.5743,474611,2831,468005318.551977,7.46268656716418,0.0245,,,,,,,-71,0,82.5,28.48,25.17,23.18,0.642
2004-8-1,Solomon Islands,,6.59,0.4979,474611,2831,468005318.551977,7.47384155455904,0.0158,,,,,,,-71,0,39.3,29.42,25.51,22.53,0.5951
2004-9-1,Solomon Islands,,8.5,0.8154,474611,2831,468005318.551977,7.49625187406297,-0.0481,,,,,,,-71,0,42.9,30.19,26.08,23.95,0.5584
2004-10-1,Solomon Islands,,7.95,1.978,474611,2831,468005318.551977,7.49625187406297,-0.0014,,,,,,,-71,0,225.3,30.01,25.97,23.4,0.6195
2004-11-1,Solomon Islands,,7.98,0.96,474611,2831,468005318.551977,7.5,-0.071,,,,,,,-71,0,170.1,29.27,26.09,24.33,0.6174
2004-12-1,Solomon Islands,,8.05,1.0078,474611,2831,468005318.551977,7.5,-0.0468,,,,,,,-71,0,139.8,29.48,26.38,24.18,0.6442
2005-1-1,Solomon Islands,,6.23,1.0815,483080,2865,552864570.225819,7.5,0.0549,,,,,,,-37,0,250.2,30.19,26.63,24.54,0.6393
2005-2-1,Solomon Islands,,4.44,0.6397,483080,2865,552864570.225819,7.5,0.0478,,,,,,,-37,0,151.8,29.14,26.41,24.29,0.5659
2005-3-1,Solomon Islands,,5.6,0.3047,483080,2865,552864570.225819,7.51,-0.0569,,,,,,,-37,0,78.3,30.54,26.99,24.78,0.6739
2005-4-1,Solomon Islands,,4.59,0.9627,483080,2865,552864570.225819,7.51314800901578,0.2189,,,,,,,-37,0,134.1,29.53,26.64,24.45,0.6703
2005-5-1,Solomon Islands,,6.91,0.6837,483080,2865,552864570.225819,7.5148,0.0679,,,,,,,-37,0,100.5,29.49,26.32,23.86,0.6423
2005-6-1,Solomon Islands,,7.22,0.4108,483080,2865,552864570.225819,7.51314800901578,-0.0074,,,,,,,-37,0,47.4,29.6,26,23.16,0.6364
2005-7-1,Solomon Islands,,9.94,0.8489,483080,2865,552864570.225819,7.5196,0.0082,,,,,,,-37,0,70.2,28.93,25.69,22.85,0.5884
2005-8-1,Solomon Islands,,12.79,0.8766,483080,2865,552864570.225819,7.525,0.0694,,,,,,,-37,0,77.1,29.71,25.73,22.61,0.5813
2005-9-1,Solomon Islands,,9.89,1.0096,483080,2865,552864570.225819,7.542,0.0627,,,,,,,-37,0,82.5,30.58,26.56,23.43,0.5981
2005-10-1,Solomon Islands,,9.5,0.8166,483080,2865,552864570.225819,7.575,-0.1469,,,,,,,-37,0,119.7,30.69,26.68,24.25,0.5588
2005-11-1,Solomon Islands,,8.94,1.0999,483080,2865,552864570.225819,7.57002271,0.0395,,,,,,,-37,0,132.9,30.34,26.51,24.11,0.5875
2005-12-1,Solomon Islands,,9.4,0.6913,483080,2865,552864570.225819,7.57575757,0.0187,,,,,,,-37,0,99,31.25,27.03,24.51,0.709
2006-1-1,Solomon Islands,,12.73,1.2427,491594,2914,617258154.260133,7.59,0.0565,,,,,,,-63,0,212.4,31.27,26.9,24.8,0.7201
2006-2-1,Solomon Islands,,12.51,1.015,491594,2914,617258154.260133,7.593,-0.0285,,,,,,,-63,0,327.3,30.28,26.39,24.09,0.6895
2006-3-1,Solomon Islands,,13.09,0.9559,491594,2914,617258154.260133,7.599,-0.074,,,,,,,-63,0,201.6,29.07,26.14,24.08,0.5852
2006-4-1,Solomon Islands,,15.86,1.9891,491594,2914,617258154.260133,7.599,-0.0469,,,,,,,-63,0,90.3,29.61,26.52,24.19,0.6714
2006-5-1,Solomon Islands,,15.58,0.6266,491594,2914,617258154.260133,7.6046,0.1779,,,,,,,-63,0,82.8,29.33,26.47,24.27,0.6663
2006-6-1,Solomon Islands,,16.37,1.8643,491594,2914,617258154.260133,7.6011,-0.0241,,,,,,,-63,0,86.1,29.45,26.11,23.42,0.6245
2006-7-1,Solomon Islands,,13.61,1.0259,491594,2914,617258154.260133,7.5988,0.0792,,,,,,,-63,0,100.8,28.81,25.79,22.99,0.6851
2006-8-1,Solomon Islands,,10.95,1.6612,491594,2914,617258154.260133,7.61,0.1329,,,,,,,-63,0,87.6,28.63,25.2,22.34,0.6438
2006-9-1,Solomon Islands,,10.24,1.175,491594,2914,617258154.260133,7.616,-0.0483,,,,,,,-63,0,45.6,29,26.02,23.63,0.6371
2006-10-1,Solomon Islands,,11.6,1.3911,491594,2914,617258154.260133,7.634,0.0394,,,,,,,-63,0,246,29.11,25.63,22.73,0.5874
2006-11-1,Solomon Islands,,11.92,1.1319,491594,2914,617258154.260133,7.634,-0.0111,,,,,,,-63,0,96.6,29.98,26.54,23.81,0.7208
2006-12-1,Solomon Islands,,11.1,1.0635,491594,2914,617258154.260133,7.634,0.0216,,,,,,,-63,0,113.7,31.53,26.92,24.3,0.6955
2007-1-1,Solomon Islands,,9.06,1.9919,500156,3018,695295347.621537,7.639,0.055,,,,,,,-69,0,74.4,31.85,27.32,24.9,0.6614
2007-2-1,Solomon Islands,,6.84,1.2831,500156,3018,695295347.621537,7.639,0.0524,,,,,,,-69,0,187.5,30.42,26.66,24.34,0.678
2007-3-1,Solomon Islands,,5.4,0.7347,500156,3018,695295347.621537,7.639,0.0094,,,,,,,-69,0,202.5,29.79,26.5,24.06,0.6847
