Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001/1/1,Switzerland,-0.07,1.44,1.4213075158237405,7229854.0,61482.0,286582672434.226,1.6449,0.7095,347785.641,0.0,3101395.015,0.0,3793337.503,0.0,84048.0,0.0,106.48678479529286,4.209481565413967,-3.76601115925313,-14.0239930019583,0.21771102343685
2001/2/1,Switzerland,-0.14,0.6,0.987346675802849,7229854.0,61482.0,286582672434.226,1.6678,-0.1014,464084.335,0.0,2907617.859,0.0,179470.791,0.0,84048.0,0.0,74.32024892897222,4.726802557990709,-2.32044463010225,-12.5620593979244,0.2651305753943463
2001/3/1,Switzerland,0.16,1.17,2.599022679312448,7229854.0,61482.0,286582672434.226,1.7317,2.1172,3905198.758,0.0,3330123.817,0.0,457324.664,0.0,84048.0,0.0,230.2606955843518,8.0031122884443,1.7242285606538417,-7.80372522415649,0.3121052018866853
2001/4/1,Switzerland,0.28,1.11,1.3932192938364802,7229854.0,61482.0,286582672434.226,1.7327,1.3634,2296132.713,0.0,2503113.363,0.0,940029.295,0.0,84048.0,0.0,130.57102700074844,9.066169781155054,1.4009479286201554,-8.58799146016434,0.3009410070808229
2001/5/1,Switzerland,0.54,1.32,0.7056217347851493,7229854.0,61482.0,286582672434.226,1.7935,-0.8788,634499.841,0.0,2624411.541,0.0,228724.126,0.0,84048.0,0.0,92.27522501644938,16.007840667232415,9.400101378773684,-0.540331165764882,0.5112897729099107
2001/6/1,Switzerland,0.19,2.35,1.4394730958239568,7229854.0,61482.0,286582672434.226,1.7954,0.9246,71238.468,0.0,5927939.2,0.0,560119.595,0.0,84048.0,0.0,193.2496020490793,18.39194073147246,10.420282830338865,0.9857015821668824,0.596150699753775
2001/7/1,Switzerland,-0.15,2.84,1.0466492393342703,7229854.0,61482.0,286582672434.226,1.724,-0.0831,268987.42,0.0,3682559.561,0.0,1560910.326,0.0,84048.0,0.0,142.80560985323655,20.93943924852601,13.80321131521464,4.171745616133535,0.6712784621702567
2001/8/1,Switzerland,-0.55,2.04,0.9616456347241152,7229854.0,61482.0,286582672434.226,1.654,-0.4593,315900.551,0.0,7354904.168,0.0,1234679.045,0.0,84048.0,0.0,137.66215637183151,21.97750100576752,14.93738004013386,6.027793974517522,0.6770470594276046
2001/9/1,Switzerland,0.13,2.63,1.0827515247828956,7229854.0,61482.0,286582672434.226,1.6117,1.2531,365694.257,0.0,2778213.092,0.0,2923372.257,0.0,84048.0,0.0,129.58255351383852,14.481357150607664,7.017246331079207,-2.51441107855902,0.6068900537904492
2001/10/1,Switzerland,-0.15,3.54,0.7000397618804692,7229854.0,61482.0,286582672434.226,1.624,-0.301,490155.481,0.0,3933020.129,0.0,1152042.245,0.0,84048.0,0.0,78.88347566482764,15.667290706019289,9.237016591442456,0.2122860857235764,0.5670395938556547
2001/11/1,Switzerland,0.13,2.32,0.7837574453810991,7229854.0,61482.0,286582672434.226,1.6545,0.2726,158354.985,0.0,5993954.68,0.0,215914.505,0.0,84048.0,0.0,73.00013943162904,6.489466582404248,-0.801933280701462,-9.73017046186657,0.4163266509364579
2001/12/1,Switzerland,-0.04,3.61,0.5433704584337954,7229854.0,61482.0,286582672434.226,1.6773,-0.6691,243527.145,0.0,3815190.001,0.0,764607.249,0.0,84048.0,0.0,52.15319742539245,1.5880132982808275,-5.7776441336635,-16.7953557373375,0.2632934607537801
2002/1/1,Switzerland,0.12,4.39,0.4673815974443479,7284753.0,61919.0,309301422430.386,1.6982,-1.2573,182252.512,0.0,4667510.964,0.0,294650.132,0.0,82101.0,0.0,35.661596450647146,3.0350696891866846,-4.67415928789262,-14.4651980779503,0.2229883951299047
2002/2/1,Switzerland,0.0,4.08,1.5591687325929904,7284753.0,61919.0,309301422430.386,1.7053,0.7936,713542.181,0.0,5005046.645,0.0,880897.026,0.0,82101.0,0.0,119.41030692900372,5.894819922674287,-0.698860343461149,-10.7108668100265,0.2848472912200579
2002/3/1,Switzerland,0.02,3.87,1.116387760165105,7284753.0,61919.0,309301422430.386,1.6829,0.2486,4060907.532,0.0,4829889.01,0.0,1759327.545,0.0,82101.0,0.0,98.82218790319284,8.427593341950455,1.2947840407405238,-8.92855270139631,0.3414941143884882
2002/4/1,Switzerland,0.86,3.57,0.7119061788054489,7284753.0,61919.0,309301422430.386,1.622,-0.731,2724840.065,0.0,5081509.147,0.0,307656.382,0.0,82101.0,0.0,70.89148645419169,10.296931563483383,3.4977496290084105,-6.82577622731525,0.4136164055593199
2002/5/1,Switzerland,0.1,2.81,1.493699548297004,7284753.0,61919.0,309301422430.386,1.5601,1.349,901809.238,0.0,6813443.129,0.0,691442.642,0.0,82101.0,0.0,208.6969950346268,14.177976821571292,7.404718613616353,-2.38159874126472,0.5494812653130758
2002/6/1,Switzerland,-0.13,1.23,0.9869311686891972,7284753.0,61919.0,309301422430.386,1.4752,-0.6537,1013912.898,0.0,3330268.384,0.0,1029576.839,0.0,82101.0,0.0,133.15452753734365,19.831373384263827,13.774323759114452,3.574084430270773,0.6562313365231803
2002/7/1,Switzerland,-0.53,1.38,1.0058349501383526,7284753.0,61919.0,309301422430.386,1.487,0.3444,791077.701,0.0,2157440.971,0.0,1963710.647,0.0,82101.0,0.0,139.88193234182634,20.08197213039608,13.501240004514727,4.432500314199842,0.6649582244856871
2002/8/1,Switzerland,-0.03,1.69,1.0970825846371055,7284753.0,61919.0,309301422430.386,1.4907,0.9872,532758.82,0.0,2051391.266,0.0,473662.2,0.0,82101.0,0.0,155.26325536431088,19.41319441846622,12.97517258058457,3.5784041168869294,0.6603076175043662
2002/9/1,Switzerland,0.15,1.66,1.0365254983889003,7284753.0,61919.0,309301422430.386,1.4832,0.6182,725839.224,0.0,4421752.015,0.0,704814.601,0.0,82101.0,0.0,126.74787824202944,15.573686091105174,8.66777408125165,-0.2644161224365,0.6127675762811257
2002/10/1,Switzerland,0.58,0.91,1.0797697278995488,7284753.0,61919.0,309301422430.386,1.4837,0.8992,352225.606,0.0,4480132.167,0.0,921126.253,0.0,82101.0,2.0,116.54653117877908,12.679539596393568,5.919273456498729,-3.09426542712793,0.5100107529863049
2002/11/1,Switzerland,-0.18,1.54,2.7216171890137666,7284753.0,61919.0,309301422430.386,1.486,1.9461,342075.39,0.0,6952095.922,0.0,954763.287,0.0,82101.0,231.0,284.8059944477639,8.07302040523956,1.4912038230719418,-8.19971451229514,0.3749311131353694
2002/12/1,Switzerland,-0.06,0.73,0.8834404464933449,7284753.0,61919.0,309301422430.386,1.3868,-0.0073,160906.571,0.0,5360916.098,0.0,1681051.621,0.0,82101.0,0.0,87.76793715830777,5.671990577123495,-1.9140964983527,-11.9186748504638,0.2335902602132483
2003/1/1,Switzerland,0.08,-0.51,0.9749568338595106,7339001.0,63368.0,362075086507.76,1.3573,0.3002,666510.993,0.0,6972493.777,0.0,1650010.695,0.0,74621.0,7.0,75.59227143460318,1.8717329045778115,-5.58739166681476,-15.828661920691,0.2169857217693949
2003/2/1,Switzerland,0.1,0.34,0.4973568359766548,7339001.0,63368.0,362075086507.76,1.3555,-0.8859,713232.321,0.0,4873195.821,0.0,867918.525,0.0,74621.0,0.0,38.42123780904216,1.9190593038286463,-6.90437269912661,-17.3487687746683,0.1012251546902134
2003/3/1,Switzerland,0.4,1.23,0.3406055197352029,7339001.0,63368.0,362075086507.76,1.3537,-1.6624,4997660.039,0.0,5176639.023,0.0,1317792.249,0.0,74621.0,0.0,31.318488230887347,8.31166834267242,1.5595225286300547,-8.13977917496873,0.3027486240394297
2003/4/1,Switzerland,0.2,0.76,0.7187652186125552,7339001.0,63368.0,362075086507.76,1.3601,-0.8264,4357905.104,0.0,4981730.857,0.0,495761.296,0.0,74621.0,0.0,69.14820032555647,10.4219683541192,3.315107355590498,-6.44075951046409,0.4274504657910801
2003/5/1,Switzerland,-0.16,1.13,0.8120602923697858,7339001.0,63368.0,362075086507.76,1.291,-0.7346,2424914.948,0.0,6757926.218,0.0,756958.569,0.0,74621.0,0.0,107.9781538261409,17.21106359830469,9.37093515717646,-0.691240774175128,0.581031819789703
2003/6/1,Switzerland,0.0,1.61,0.686144302858835,7339001.0,63368.0,362075086507.76,1.3581,-1.6392,1385959.721,0.0,4663882.797,0.0,702678.306,0.0,74621.0,0.0,90.82960815934784,24.321992556254088,16.559031590178165,6.358537695142957,0.6486838000729893
2003/7/1,Switzerland,-0.8,0.99,0.8593667054553582,7339001.0,63368.0,362075086507.76,1.369,-0.7157,436515.163,0.0,3358550.793,0.0,808014.788,0.0,74621.0,0.0,119.12111044920115,23.38014174840788,15.438860412063434,6.102971259496542,0.6534033326805804
