Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001/1/1,Tajikistan,2.4,71.83,0.8680201057015858,6407377.0,45248.0,1080772551.29433,2.35,-0.5376,-40774.0,0.0,26.865103682307662,2.823017456711,-14.2948325061767,-31.2714518393239,0.0267555522857547
2001/2/1,Tajikistan,1.2,72.6,0.6682442492094544,6407377.0,45248.0,1080772551.29433,2.35,-0.9067,-40774.0,0.0,28.16119809962797,7.135627660297246,-11.8966118386199,-29.4482724280584,0.0393990144176953
2001/3/1,Tajikistan,1.3,70.51,0.6132785881469144,6407377.0,45248.0,1080772551.29433,2.35,-1.2732,-40774.0,0.0,37.711074732212,13.10329657523863,-6.41652286764235,-25.5925015808433,0.0865204640626615
2001/4/1,Tajikistan,2.1,68.29,0.6369265163298307,6407377.0,45248.0,1080772551.29433,2.35,-1.3876,-40774.0,0.0,34.56833281419803,22.97673021952312,0.7474556278978071,-18.2902863820393,0.1447171174426619
2001/5/1,Tajikistan,2.0,61.34,0.5995258364969588,6407377.0,45248.0,1080772551.29433,2.35,-2.0652,-40774.0,165.0,24.20741859568949,30.176670472339936,6.620063276040298,-14.3286533683858,0.1817710497749655
2001/6/1,Tajikistan,-0.8,56.89,0.5186246705203444,6407377.0,45248.0,1080772551.29433,2.35,-1.0487,-40774.0,830.0,13.742394760747947,33.34147686428497,11.217045445757492,-10.1114772372775,0.1823427704638846
2001/7/1,Tajikistan,-0.2,56.19,0.4430003826732726,6407377.0,45248.0,1080772551.29433,2.4,0.3367,-40774.0,0.0,11.77932013331768,33.20431607564291,13.065724590045932,-5.76366212496191,0.1844176123080869
2001/8/1,Tajikistan,-0.9,44.97,2.7387610124242534,6407377.0,45248.0,1080772551.29433,2.4,1.3857,-40774.0,2190.0,7.586913099411134,31.360851665209736,11.906784158832409,-6.84028083227013,0.1710567314098921
2001/9/1,Tajikistan,-0.3,33.2,0.5449819376019434,6407377.0,45248.0,1080772551.29433,2.4,0.147,-40774.0,0.0,3.529413472630078,25.80492214626736,6.965777051920213,-12.7065063476562,0.1469949135297661
2001/10/1,Tajikistan,1.0,18.12,1.3307438853904905,6407377.0,45248.0,1080772551.29433,2.4,0.8109,-40774.0,0.0,29.585498520452457,18.545228269023312,0.7255065454751275,-17.8075628096057,0.1032038530383275
