Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001/1/1,Uganda,4.61,5.45,1.1844204632349435,24745676.0,348931.0,5840503868.51573,1830.44,1.1601,,,,,,,159288.0,0.0,47.49202707532879,28.03775619999056,22.75015771268761,5.917313491657239,0.4793014293264448
2001/2/1,Uganda,6.23,7.54,0.6484191630083082,24745676.0,348931.0,5840503868.51573,1742.97,-0.7306,,,,,,,159288.0,0.0,30.57518101921747,29.27699961435229,23.9637279584544,6.651668280646959,0.4590144933191362
2001/3/1,Uganda,4.53,5.38,1.3443901972527583,24745676.0,348931.0,5840503868.51573,1753.79,-0.1141,,,,,,,159288.0,0.0,136.046514363099,27.97477622493625,23.197074996009405,7.56373004298058,0.4769291745424616
2001/4/1,Uganda,4.93,5.9,1.1126273855048072,24745676.0,348931.0,5840503868.51573,1773.82,-0.4099,,,,,,,159288.0,0.0,178.57636623871988,26.677690505981445,22.371503387190103,7.733251486884228,0.6178511189605811
2001/5/1,Uganda,5.13,6.18,1.0234201587561889,24745676.0,348931.0,5840503868.51573,1782.684,-0.8753,,,,,,,159288.0,0.0,151.57017499248693,28.244318426809,22.132948290148192,7.170897727884267,0.6469442443448841
2001/6/1,Uganda,5.87,7.03,1.1459559557189734,24745676.0,348931.0,5840503868.51573,1767.638,-0.0241,,,,,,,159288.0,0.0,99.6747163033611,26.20389277140299,21.29312223734348,6.0199816385905365,0.5842765423472893
2001/7/1,Uganda,4.82,5.73,1.3138626064120966,24745676.0,348931.0,5840503868.51573,1725.742,0.5286,,,,,,,159288.0,0.0,111.22350679336046,25.984807402087824,21.302463265532083,6.010683683169816,0.6033729104934105
2001/8/1,Uganda,2.01,2.36,0.9567760813715342,24745676.0,348931.0,5840503868.51573,1750.61,-0.3484,,,,,,,159288.0,0.0,111.67889099805927,25.8502066089261,21.520482833838628,6.80689133674872,0.6232941188778408
2001/9/1,Uganda,-0.74,-0.99,1.1066745160895677,24745676.0,348931.0,5840503868.51573,1752.897,0.2799,,,,,,,159288.0,0.0,120.73545086059418,27.6077840169271,21.8889460028372,7.215287272135413,0.5945683503240189
2001/10/1,Uganda,-3.06,-3.75,1.397618029025035,24745676.0,348931.0,5840503868.51573,1737.687,0.8764,,,,,,,159288.0,9.0,180.0966235214229,27.69589453666441,22.137042326860183,7.581489714755833,0.5503221754114962
