Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001/1/1,Uruguay,5.0,6.37,1.4443201777345067,3274251.0,30660.0,20898761742.2386,12.557,1.4392,,,,,,,-270.0,0.0,147.1244124793073,25.38453301870697,23.873647823054966,22.00442969209405,0.6847910929912718
2001/2/1,Uruguay,4.95,6.3,1.0237750228226243,3274251.0,30660.0,20898761742.2386,12.632,0.2635,,,,,,,-270.0,0.0,123.5250575865686,26.06242035002936,24.13859219469566,21.77383741197133,0.7106156562292814
2001/3/1,Uruguay,4.7,5.98,1.8156846883000768,3274251.0,30660.0,20898761742.2386,12.825,1.1435,,,,,,,-270.0,0.0,207.8687619258389,24.626340300037043,22.824945302806668,20.733665043820626,0.7137059248878976
2001/4/1,Uruguay,5.09,6.48,0.9564617200466188,3274251.0,30660.0,20898761742.2386,12.94,1.0098,,,,,,,-270.0,0.0,120.24169439566968,20.281726964314828,17.77227687692124,15.5594911787245,0.6916067473196973
2001/5/1,Uruguay,5.27,6.71,0.9640323239630626,3274251.0,30660.0,20898761742.2386,13.155,0.6339,,,,,,,-270.0,0.0,103.91503501592412,15.602829746533471,13.996679552016928,12.871883215955506,0.6434032673263034
2001/6/1,Uruguay,4.29,5.46,1.4811563771013874,3274251.0,30660.0,20898761742.2386,13.74,1.1313,,,,,,,-270.0,5000.0,143.93889004894004,15.13395462036135,13.098845265606712,11.366764407687754,0.6042792999191415
2001/7/1,Uruguay,4.81,6.11,0.9518269305605416,3274251.0,30660.0,20898761742.2386,13.17,-0.3774,,,,,,,-270.0,0.0,87.51660729487548,14.437499249366056,11.778180883529728,9.883533670569022,0.6189890566569487
2001/8/1,Uruguay,3.97,5.02,1.5232587705607723,3274251.0,30660.0,20898761742.2386,13.535,0.3639,,,,,,,-270.0,0.0,115.54815837449743,18.099104038361588,15.77349704087368,14.071400640344107,0.6440963215478247
2001/9/1,Uruguay,3.88,4.9,1.686010773485899,3274251.0,30660.0,20898761742.2386,13.705,1.2278,,,,,,,-270.0,0.0,168.49769684722153,16.63881700303824,14.233603240816931,12.102269151475696,0.6549836706161747
2001/10/1,Uruguay,3.45,4.39,1.6410849637605105,3274251.0,30660.0,20898761742.2386,14.065,1.6046,,,,,,,-270.0,0.0,180.3608432581454,19.850863454675164,17.668431496271126,15.882378596644289,0.6875277761805773
