Year-Month,Country,inflation-rate(heading),food_inflation,precipitation_Ratio,Population,fatalities,gdp,Exchange_rate,SPEI,c_cifvalue,c_fobvalue,w_cifvalue,w_fobvalue,s_cifvalue,s_fobvalue,Net Refugees,Disaster_Affected,Precipitation,max_temp,mean_temp,min_temp,NDVI_Ratio
2001-1-1,Zambia,,25.59,1.056871899464947,10325185,159613,4094441301.21423,4.02453,0.4401,,,,,,,284515,0,256.7893108453365,27.94617721393547,21.14482967223819,15.831320863129008,0.5997448643803112
2001-2-1,Zambia,,24.87,1.337897133379938,10325185,159613,4094441301.21423,3.60266,0.7022,,,,,,,284515,0,261.2933377295619,25.233411793481764,21.435559431884485,17.048216597239218,0.6087434586907425
2001-3-1,Zambia,,24.59,1.314847414162184,10325185,159613,4094441301.21423,3.34959,0.6361,,,,,,,284515,0,194.7166627194148,25.08843024879377,21.26834696214297,16.832321482832754,0.6622590604838925
2001-4-1,Zambia,,21.18,0.7119574475336095,10325185,159613,4094441301.21423,3.10448,-0.2402,,,,,,,284515,0,29.0459729183148,25.389745627509228,21.36945228206605,16.237244542439782,0.6796079788414139
2001-5-1,Zambia,,19.02,0.1476731597621799,10325185,159613,4094441301.21423,3.32304,-0.5293,,,,,,,284515,0,1.4798136775933974,25.28232035893268,20.104406368321293,14.73890533037087,0.607284190309194
2001-6-1,Zambia,,17.35,0.0002490620656615,10325185,159613,4094441301.21423,3.60446,-0.2109,,,,,,,284515,0,0.0011685164577538,24.124707116021057,18.3765411314493,13.158159806993297,0.5190757556243896
2001-7-1,Zambia,,14.72,0.0453407297686569,10325185,159613,4094441301.21423,3.6853,0.7904,,,,,,,284515,0,0.0023896582467181,23.950588337067643,17.934667558190938,12.905130927793437,0.4595748203936268
2001-8-1,Zambia,,14.48,0.3830114301788256,10325185,159613,4094441301.21423,3.5943,-1.1901,,,,,,,284515,0,0.0239792269627316,25.23057507750809,21.3259156015763,14.963936762655976,0.3984347085572789
2001-9-1,Zambia,,14.98,0.6575019318205537,10325185,159613,4094441301.21423,3.67819,-0.0476,,,,,,,284515,0,1.4083696031974635,27.562550184461827,24.509956020209582,17.414153374566013,0.4203743817706034
2001-10-1,Zambia,,14.74,1.111481733443344,10325185,159613,4094441301.21423,3.74349,0.0164,,,,,,,284515,0,29.2488891863029,29.938247422249106,25.31596322475764,18.115435762302862,0.4542815789186799
2001-11-1,Zambia,,15.23,1.1472751089593411,10325185,159613,4094441301.21423,3.80085,-0.0391,,,,,,,284515,0,118.02566466028914,30.530151261223693,23.90785439496477,18.75487456851539,0.5558489687341794
2001-12-1,Zambia,,16.04,0.8919799552620439,10325185,159613,4094441301.21423,3.82033,-0.5674,,,,,,,284515,0,188.47408528100388,27.82808228769613,22.79174169043512,17.782399113972986,0.6359010160586811
2002-1-1,Zambia,,16.85,0.8661970646458372,10647949,156005,4193850445.42632,3.84865,-0.3066,,,,,,,247454,0,207.98091798866724,27.88156036458992,21.68439679377218,16.345445928265974,0.6423022869830418
2002-2-1,Zambia,,16.49,0.7126723764666346,10647949,156005,4193850445.42632,3.90425,-1.1268,,,,,,,247454,0,146.2959141821607,27.671413812183232,21.947036086266,16.9412560508365,0.6704362054701449
2002-3-1,Zambia,,15.52,0.6536528048011613,10647949,156005,4193850445.42632,3.93072,-0.5538,,,,,,,247454,,111.17573181381748,28.158970400082183,22.25431954070939,16.674823789699133,0.6448464722589913
2002-4-1,Zambia,,15.3,1.5221590965418978,10647949,156005,4193850445.42632,3.93903,0.564,,,,,,,247454,0,53.32556726432094,26.526800812615303,21.397514768284,16.419926897684775,0.6412560634261939
2002-5-1,Zambia,,17.93,0.0658094486223092,10647949,156005,4193850445.42632,4.09761,-1.5418,,,,,,,247454,0,0.6819537235635016,25.18810209458877,20.208599083810498,14.866723776376377,0.5660882883993363
2002-6-1,Zambia,,20.18,0.8479752802865191,10647949,156005,4193850445.42632,4.35466,0.0961,,,,,,,247454,0,0.0198571902693799,24.074038314819347,18.48349989264534,12.93665495978462,0.4983851049775381
2002-7-1,Zambia,,20.05,0.2653089593097256,10647949,156005,4193850445.42632,4.49923,-2.0993,,,,,,,247454,0,0.0120260226176009,24.88647586863533,20.128366486133643,14.354850469609744,0.4268420621448479
2002-8-1,Zambia,,20.3,0.2939764114395669,10647949,156005,4193850445.42632,4.49273,-0.5361,,,,,,,247454,0,0.0333846797934209,25.174642776161136,21.529032801022083,14.45577201843264,0.3894398757257401
2002-9-1,Zambia,,20.41,1.7158289889517837,10647949,156005,4193850445.42632,5.61921,0.6675,,,,,,,247454,0,2.261919058727384,27.362344402737108,23.699955454505016,16.717547310723205,0.4010526953302817
2002-10-1,Zambia,,20.38,1.018452093972746,10647949,156005,4193850445.42632,4.60327,0.1915,,,,,,,247454,0,25.65761968729344,30.420367259364014,25.733085226616083,18.829171547838484,0.4330496733362115
2002-11-1,Zambia,,21.65,0.910478922661814,10647949,156005,4193850445.42632,4.75373,-0.0545,,,,,,,247454,0,98.16082357618436,29.53931272294789,23.80904723324562,18.049889437357592,0.5189946228353228
2002-12-1,Zambia,,22.78,1.0954283318167215,10647949,156005,4193850445.42632,4.74005,0.1278,,,,,,,247454,0,234.63909213994268,28.395416001350668,22.683557568416973,17.466208907096643,0.5850158658015061
2003-1-1,Zambia,,24.34,0.8575178588563804,10983595,151484,4901869764.05957,4.41096,0.2855,,,,,,,226522,0,205.27823807992831,28.650457492951432,22.41880459557888,17.1411250206732,0.6746209862965955
2003-2-1,Zambia,,21.9,0.9053152097077556,10983595,151484,4901869764.05957,4.66871,-0.4122,,,,,,,226522,0,182.4262961260848,26.869033727191777,22.096785786757096,17.39343907038375,0.6947031465965623
2003-3-1,Zambia,,19.97,1.285055865689304,10983595,151484,4901869764.05957,4.87752,0.6005,,,,,,,226522,0,192.4125261277836,25.904688545965428,21.88496638690566,17.52539639626781,0.6736997022261293
2003-4-1,Zambia,,20.03,1.1630700877162805,10983595,151484,4901869764.05957,4.8664,0.3806,,,,,,,226522,0,47.91556913471968,25.425161170959484,20.66667739824072,16.261603228251147,0.6727871670823335
2003-5-1,Zambia,,18.52,0.0923180111492923,10983595,151484,4901869764.05957,4.82404,-0.3875,,,,,,,226522,0,0.9213342624784944,25.55205717189341,20.141980022660903,15.34845701648345,0.5892541852284812
2003-6-1,Zambia,,15.75,0.1444613455387369,10983595,151484,4901869764.05957,4.84704,0.3398,,,,,,,226522,0,0.0042207456690796,24.42022389305964,18.79009564825691,13.673785633511043,0.5216679126580408
2003-7-1,Zambia,,13.71,0.0004664618149793,10983595,151484,4901869764.05957,4.77931956521739,-0.1659,,,,,,,226522,0,0.0011003241568887,23.198262233118896,17.411153517417176,12.555130197668632,0.4527585859628847
2003-8-1,Zambia,,14.53,0.2361924272369906,10983595,151484,4901869764.05957,4.69857071428571,-0.9918,,,,,,,226522,0,0.0349850510730736,25.07732445501512,20.87443105281744,14.63125853179605,0.3901379913232693
2003-9-1,Zambia,,16.63,0.3010777224899969,10983595,151484,4901869764.05957,4.74565409090909,-0.793,,,,,,,226522,0,0.963230690619986,27.460122383965427,24.52696096053154,16.78978546990288,0.3890202977837645
2003-10-1,Zambia,,17.57,1.0459740420157115,10983595,151484,4901869764.05957,4.7520152173913,0.41,,,,,,,226522,0,26.772276405360703,30.0877448953608,25.90694042754388,19.077924141832625,0.4372069962051108
2003-11-1,Zambia,,16.02,0.81881419910741,10983595,151484,4901869764.05957,4.751268333,-0.8771,,,,,,,226522,0,87.09651794974383,31.172086800469287,25.248201796953765,19.484356223212387,0.4922258538114871
2003-12-1,Zambia,,15.45,1.003609233376172,10983595,151484,4901869764.05957,4.57775463768116,-0.3845,,,,,,,226522,0,212.11253527170595,27.699748816541444,22.58439400299068,17.47966260602402,0.5821259143687543
2004-1-1,Zambia,,12.46,1.0137462231136247,11338198,148634,6221110219.45542,4.76764098484848,0.1156,,,,,,,173501,0,236.1988043914764,28.129239223849424,22.27761779847043,17.446451400428714,0.6641006820045201
2004-2-1,Zambia,,12.89,1.0333146383604863,11338198,148634,6221110219.45542,4.7625127,0.0762,,,,,,,173501,0,206.37641622648584,26.243512090047204,21.75886493237607,16.984877369321623,0.6388262301136785
